Name,Scopus_ID,Scopus_name
AARON TORNELL,6701633195,"Tornell, Aarón"
AART KRAAY,55945872300,"Kraay, Aart C."
ADLAI FISHER,7403452081,"Fisher, Adlai J."
ADRIANO RAMPINI,8334190300,"Rampini, Adriano A."
ADRIEN VERDELHAN,22235492700,"Verdelhan, Adrien"
ALAN HESTON,6506811511,"Heston, Alan W."
ALAN STOCKMAN,7006086543,"Stockman, Alan C."
ALBERT SAIZ,36194313500,"Saiz, Albert"
ALEX EDMANS,18633766100,"Edmans, Alex"
ALEXANDER MICHAELIDES,7005609563,"Michaelides, Alexander"
ALVIN MURPHY,35789143100,"Murphy, Alvin D."
AMARTYA LAHIRI,7102451433,"Lahiri, Amartya"
AMIL PETRIN,7003989088,"Petrin, Amil"
AMIR SUFI,16048547000,"Sufi, Amir"
AMIR YARON,7006646386,"Yaron, Amir"
AMIYATOSH PURNANANDAM,6507592418,"Purnanandam, Amiyatosh K."
AMNON LEVY,57199280201,"Levy, Amnon"
AMY FINKELSTEIN,7101962367,"Finkelstein, Amy N."
ANA AIZCORBE,14023923200,"Aizcorbe, Ana M."
ANA FOSTEL,23978078400,"Fostel, Ana"
ANDERS ISAKSSON,57201540952,"Isaksson, Anders"
ANDREA EISFELDT,6503994055,"Eisfeldt, Andrea L."
ANDREAS LEHNERT,11940538200,"Lehnert, Andreas"
ANDREI LEVCHENKO,35960015300,"Levchenko, Andrei A."
ANDRES VELASCO,13204605100,"Velasco, Andrés M."
ANDREW ABEL,7004484373,"Abel, Andrew B."
ANDREW ANG,7005490343,"Ang, Andrew"
ANDREW HAUGHWOUT,6603320180,"Haughwout, Andrew F."
ANDREW LO,7102780696,"Lo, Andrew"
ANDREW METRICK,6602077254,"Metrick, Andrew"
ANDREW ROSE,7201500230,"Rose, Andrew K."
ANDY ABEL,7004484373,"Abel, Andrew B."
ANIL KASHYAP,7101878064,"Kashyap, Anil K."
ANJAN THAKOR,6701596295,"Thakor, Anjan V."
ANNA PAVLOVA,23973413200,"Pavlova, Anna"
ANNETTE VISSING JORGENSEN,6506433914,"Vissing-Jørgensen, Annette"
ANNETTE VISSING JORGENSON,6506433914,"Vissing-Jørgensen, Annette"
ANNETTE VISSING-JORGENSEN,6506433914,"Vissing-Jørgensen, Annette"
ANNETTE VISSING-JORGENSON,6506433914,"Vissing-Jørgensen, Annette"
ANTOINETTE SCHOAR,6505814876,"Schoar, Antoinette"
ANTON KORINEK,14060479200,"Korinek, Anton"
ANUSHA CHARI,24436846100,"Chari, Anusha"
ARIEL BURSTEIN,8943873200,"Burstein, Ariel Tomás"
ARIEL PAKES,7004264968,"Pakes, Ariél"
ART SENSENIG,6603785640,"Sensenig, Arthur L."
ARVIND KRISHNAMURTHY,7005516119,"Krishnamurthy, Arvind"
ATIF MIAN,24824916100,"Mian, Atif R."
AUGUSTIN LANDIER,24376751800,"Landier, Augustin"
B K ATROSTIC,8882417700,"Atrostic, Barbara Kathryn"
BARRY BOSWORTH,7005729834,"Bosworth, Barry P."
BART VAN ARK,55825060100,"Ark, Bart Van"
BELEN VILLALONGA,6506527390,"Villalonga, Belén"
BENJAMIN HERMALIN,6602431067,"Hermalin, Benjamin E."
BENJAMIN JONES,8967584300,"Jones, Benjamin F."
BENRNARD DUMAS,35808576700,"Dumas, Bernard"
BENT SORENSEN,7201532199,"Sørensen, Bent E."
BERNADETTE MINTON,6602815840,"Minton, Bernadette A."
BERNARD DUMAS,35808576700,"Dumas, Bernard"
BLAKE LEBARON,6701337045,"LeBaron, Blake D."
BOYAN JOVANOVIC,7005701459,"Jovanovic, Boyan"
BRAD BARBER,7102896501,"Barber, Brad M."
BRIAN JACOB,7102943648,"Jacob, Brian A."
BRIAN KNIGHT,56273103800,"Knight, Brian G."
BRUCE CARLIN,7006964550,"Carlin, Bruce I."
BRYAN ROUTLEDGE,6603255760,"Routledge, Bryan R."
BURTON HOLLIFIELD,56154737700,"Hollifield, Burton"
C FRITZ FOLEY,7102587835,"Foley, C. Fritz"
CAMELIA KUHNEN,8713001100,"Kuhnen, Camelia M."
CARLOS VEGH,6603477130,"Végh, Carlos A."
CAROL CORRADO,7003888244,"Corrado, Carol A."
CAROLINE HOXBY,6602597836,"Hoxby, Caroline Minter"
CEDRIC TILLE,55900238200,"Tille, Cédric"
CHAD SYVERSON,6602935589,"Syverson, Chad"
CHARLES ENGEL,7102989698,"Engel, Charles"
CHARLES HULTEN,6701610891,"Hulten, Charles R."
CHARLES JONES,55474251600,"Jones, Charles M."
CHARLIE HIMMELBEG,6602502546,"Himmelberg, Charles P."
CHARLIE KAHN,7201695946,"Kahn, Charles M."
CHESTER SPATT,6602234506,"Spatt, Chester S."
CHRIS MAYER,7202232626,"Mayer, Christopher J."
CHRIS TELMER,6602527346,"Telmer, Chris I."
CHRISTIAN BRODA,6507947601,"Broda, Christian"
CHRISTIAN JULLIARD,8241780000,"Julliard, Christian"
CHRISTOPHER CARROLL,7101866161,"Carroll, Christopher D."
CHRISTOPHER ERCEG,7801361043,"Erceg, Christopher J."
CHRISTOPHER MAYER,7202232626,"Mayer, Christopher J."
CRAIG BURNSIDE,7003584662,"Burnside, A. Craig"
CRAIG MACKINLAY,7003765162,"MacKinlay, Andrew Craig"
CRAIG PIRRONG,6602685699,"Pirrong, Craig"
DANIEL GOTTLIEB,8651681400,"Gottlieb, Daniel A."
DANIEL PARAVISINI,24825198500,"Paravisini, Daniel"
DANIEL SICHEL,6602571326,"Sichel, Daniel E."
DANIEL WOLFENZOHN,6505783203,"Wolfenzon, Daniel"
DARRELL DUFFIE,6701468567,"Duffie, J. Darrell"
DAVID BACKUS,6601996611,"Backus, David K."
DAVID BATES,7202955757,"Bates, David S."
DAVID CUTLER,7102733401,"Cutler, David M."
DAVID GENESOVE,6602941990,"Genesove, David"
DAVID JOHNSON,55699200400,"Johnson, David Scott"
DAVID MARSHALL,7402186390,"Marshall, David A."
DAVID MODEST,8631763000,"Modest, David M."
DAVID ROBINSON,8716177800,"Robinson, David T."
DAVID SCHARFSTEIN,7003408304,"Scharfstein, David S."
DEBORAH J LUCAS,7202026123,"Lucas, Deborah J."
DEBORAH LUCAS,7202026123,"Lucas, Deborah J."
DENIS GROMB,6602659594,"Gromb, Denis"
DENNIS EPPLE,6701460925,"Epple, Dennis N."
DEVIN POPE,24329697200,"Pope, Devin G."
DIMITRIS PANANIKOLAU,36451373500,"Papanikolaou, Dimitris"
DIMITRIS PAPANIKOLAOU,36451373500,"Papanikolaou, Dimitris"
DIRK JENTER,6505493534,"Jenter, Dirk"
DOUGLAS DIAMOND,7102619783,"Diamond, Douglas W."
DUANE SEPPI,6602406208,"Seppi, Duane J."
DWIGHT JAFFEE,6602991513,"Jaffee, Dwight M."
EDITH HOTCHKISS,57191402445,"Hotchkiss, Edith Shwalb"
EDUARDO LEVY-YEYATI,6508167439,"Levy Yeyati, Eduardo"
EDWARD GLAESER,7003688582,"Glaeser, Edward"
ELI BERMAN,7103036986,"Berman, Eli"
ELLEN DULBERGER,7801395719,"Dulberger, Ellen R."
EMMANUEL FARHI,23492216000,"Farhi, Emmanuel"
EMMANUEL SAEZ,7004587587,"Saez, Emmanuel"
ENRICHETTA RAVINA,17435613500,"Ravina, Enrichetta"
ENRIQUE MENDOZA,7006157135,"Mendoza, Enrique Gabriel"
ERIC ROSENGREN,7006264503,"Rosengren, Eric S."
ERIC VAN WIN COOP,6604020003,"van Wincoop, Eric"
ERIC VAN WINCOOP,6604020003,"van Wincoop, Eric"
ERIC ZITZEWITZ,8122449600,"Zitzewitz, Eric W."
ERIK HURST,6701835571,"Hurst, Erik G."
ERNST R BERNDT,7006755837,"Berndt, Ernst R."
ERWIN DIEWERT,6701690623,"Diewert, Walter Erwin"
ERZO LUTTMER,6603131574,"Luttmer, Erzo G.J."
ESWAR PRASAD,55531425000,"Prasad, Eswar S."
FABIO GHIRONI,6506962565,"Ghironi, Fabio"
FABRIZIO PERRI,7005662111,"Perri, Fabrizio"
FEDERICO STURZENEGGER,6603441642,"Sturzenegger, Federico"
FERNANDO FERREIRA,37115389700,"Ferreira, F. A.F."
FRANCESCA CORNELLI,6602218301,"Cornelli, Francesca"
FRANCISCO GOMES,8924744900,"Gomes, Francisco J."
FRANCOIS ORTALO-MAGNE,6603092424,"Ortalo-Magné, François"
FRANK DIEBOLD,23166985700,"Diebold, Francis X."
FRANK STAFFORD,55397462400,"Stafford, Frank P."
FRANK WARNOCK,6701331523,"Warnock, Francis E."
FRANKLIN ALLEN,7102515412,"Allen, Franklin"
FREDERICO BANDI,6505885011,"Bandi, Federico M."
GALINA HALE,23097817700,"Hale, Galina B."
GARY GORTON,7003433892,"Gorton, Gary B."
GAUTI EGGERTSSON,6603904420,"Eggertsson, Gauti Bergþóruson"
GEERT BEKAERT,7004114269,"Bekaert, Geert"
GEORG STRASSER,55506128600,"Strasser, Georg"
GEORGE ALESSANDRIA,8544896700,"Alessandria, George"
GEORGE CONSTANTINIDES,7006623149,"Constantinides, George M."
GEORGE PENNACCHI,6602240480,"Pennacchi, George G."
GEORGE PENNACHI,6602240480,"Pennacchi, George G."
GIAN MARIA MILESI-FERRETTI,6602186194,"Milesi-Ferretti, Gian Maria"
GIANCARLO CORSETTI,6701579737,"Corsetti, Giancarlo"
GIANNI DE NICOLO,6603377530,"De Nicoló, Gianni"
GITA GOPINATH,8716236500,"Gopinath, Gita"
GLENN ELLISON,7102425571,"Ellison, Glenn"
GORDON PHILLIPS,7401621702,"Phillips, Gordon M."
GREG DUFFEE,6602361493,"Duffee, Gregory R."
GREGOR ANDRADE,7003458167,"Andrade, Gregor"
GUIDO LORENZONI,24376641200,"Lorenzoni, Guido"
GUILLERMO ORDONEZ,52364547500,"Ordoñez, Guillermo L."
HANNO LUSTIG,22938088500,"Lustig, Hanno N."
HAYNE LELAND,7004262527,"Leland, Hayne E."
HEITOR ALMEIDA,7006030950,"Almeida, Heitor V."
HELENE REY,7005785064,"Rey, Hélène"
HENRI SERVAES,6603501917,"Servaes, Henri"
HIRO ITO,55474155100,"Ito, Hiro"
HOLGER SIEG,6602150854,"Sieg, Holger"
HUI CHEN,36623371100,"Chen, Hui"
HYUN SHIN,7404012037,"Shin, Hyun Song"
IAIN COCKBURN,7004714197,"Cockburn, Iain M."
ITAY GOLDSTEIN,8520304400,"Goldstein, Itay"
IVO WELCH,7003982192,"Welch, Ivo"
J VERNON HENDERSON,7801493347,"Henderson, J. Vernon"
JACK E TRIPLETT,7004325898,"Triplett, Jack E."
JACK TRIPLETT,7004325898,"Triplett, Jack E."
JACOB VIGDOR,6603347234,"Vigdor, Jacob L."
JAMES BRICKLEY,6701547607,"Brickley, James A."
JAN BRUECKNER,7006247659,"Brueckner, Jan K."
JANICE EBERLY,7005009452,"Eberly, Janice C."
JAY RITTER,7402315055,"Ritter, Jay R."
JEFF WURGLER,6603142772,"Wurgler, Jeffrey"
JEFF ZABEL,7006168130,"Zabel, Jeffrey E."
JEFFREY BERNSTEIN,7402304317,"Bernstein, Jeffrey I."
JEFFREY FRANKEL,7102349472,"Frankel, Jeffrey A."
JEFFREY WURGLER,6603142772,"Wurgler, Jeffrey"
JENNY MINIER,8320380400,"Minier, Jenny A."
JEREMY STEIN,7402750873,"Stein, Jeremy C."
JEREMY TOBACMAN,36929311600,"Tobacman, Jeremy"
JESSE ROTHSTEIN,7103390682,"Rothstein, Jesse M."
JESSICA WACHTER,9738184300,"Wachter, Jessica A."
JIANG WANG,7701323997,"Wang, Jiang"
JING ZHANG,56701169100,"Zhang, Jing"
JOAO GOMES,7203010992,"Gomes, João F."
JOE HAUBRICH,7003963679,"Haubrich, Joseph G."
JOHN AMERIKS,16306627900,"Ameriks, John"
JOHN BOYD,13310394600,"Boyd, John Hayden"
JOHN CAMPBELL,16446204900,"Campbell, John Y."
JOHN FERNALD,55942565700,"Fernald, John G."
JOHN HALTIWANGER,6701823402,"Haltiwanger, John C."
JOHN HEATON,7102998555,"Heaton, John C."
JOHN QUIGLEY,7102716111,"Quigley, John M."
JOHN ROGERS,7404268367,"Rogers, John H."
JON FAUST,7102700712,"Faust, Jon"
JON SKINNER,7401822050,"Skinner, Jonathan S."
JONAH ROCKOFF,8966315100,"Rockoff, Jonah E."
JONATHAN EATON,7202998173,"Eaton, Jonathan"
JONATHAN LEWELLEN,7004065954,"Lewellen, Jonathan"
JONATHAN PARKER,7404595160,"Parker, Jonathan A."
JONATHAN REUTER,12774108500,"Reuter, Jonathan"
JONATHAN SKINNER,7401822050,"Skinner, Jonathan S."
JONATHAN WRIGHT,55441644600,"Wright, Jonathan H."
JOSE-VICTOR RIOS RULL,6602989968,"Ríos-Rull, José V́ictor"
JOSEPH GAGNON,7202007188,"Gagnon, Joseph E."
JOSEPH GYOURKO,6601926430,"Gyourko, Joseph E."
JOSEPH HAUBRICH,7003963679,"Haubrich, Joseph G."
JOSEPH TRACY,7101966021,"Tracy, Joseph S."
JOSH COVAL,6602458650,"Coval, Joshua D."
JOSH LERNER,7101861907,"Lerner, Josh"
JOSH RAUH,12786115500,"Rauh, Joshua D."
JOSHUA LERNER,7101861907,"Lerner, Josh"
JOSHUA MARGOLIS,9942942700,"Margolis, Joshua D."
JOSUHA COVAL,6602458650,"Coval, Joshua D."
JUDITH CHEVALIER,57203069604,"Chevalier, Judith A."
JUDITH HELLERSTEIN,7007083052,"Hellerstein, Judith K."
JULIA THOMAS,55493188400,"Thomas, Julia K."
JULIE WULF,10138910100,"Wulf, Julie"
JULIO ROTEMBERG,6603027527,"Rotemberg, Julio J."
KAREN LEWIS,7201596918,"Lewis, Karen K."
KAREN PENCE,15833004100,"Pence, Karen M."
KARL CASE,7006340673,"Case, Karl E."
KASPER ROSZBACH,6506018801,"Roszbach, Kasper"
KEI-MU YI,36785631000,"Yi, Keimu"
KEN FROOT,6603277936,"Froot, Kenneth A."
KENNETH AYOTTE,8897867300,"Ayotte, Kenneth M."
KENNETH FLAMM,56014563600,"Flamm, Kenneth S."
KENNETH FRENCH,7006094907,"French, Kenneth R."
KENNETH FROOT,6603277936,"Froot, Kenneth A."
KENNETH J SINGLETON,7004241060,"Singleton, Kenneth J."
KENNETH ROGOFF,6701521662,"Rogoff, Kenneth S."
KENNETH SINGLETON,7004241060,"Singleton, Kenneth J."
KENT DANIEL,7006792655,"Daniel, Kent D."
KERRY BACK,7005492291,"Back, Kerry"
KEVIN COWAN,25637149400,"Cowan, Kevin N."
KEVIN J FOX,7402445113,"Fox, Kevin J."
KEVIN LANG,8104429100,"Lang, Kevin"
KEVIN STIROH,6602826287,"Stiroh, Kevin J."
LARS HANSEN,7401576349,"Hansen, Lars Peter"
LARS P HANSEN,7401576349,"Hansen, Lars Peter"
LARS SVENSSON,7201590382,"Svensson, Lars E.O."
LASSE PEDERSEN,7201717879,"Pedersen, Lasse Heje"
LAURA VELDKAMP,9133069500,"Veldkamp, Laura L."
LAUREN COHEN,36195543200,"Cohen, Lauren H."
LEONARD NAKAMURA,7005275263,"Nakamura, Leonard I."
LEONID KOGAN,7103229487,"Kogan, Leonid"
LINDA GOLDBERG,7402446305,"Goldberg, Linda S."
LINDA TESAR,6603566491,"Tesar, Linda L."
LISA LYNCH,7102232366,"Lynch, Lisa M."
LU HAN,23978049200,"Han, Lu"
LU ZHANG,55709197700,"Zhang, Lu"
LUCA BENZONI,21233610700,"Benzoni, Luca"
LUIGI ZINGALES,7004110147,"Zingales, Luigi"
LUIS VICEIRA,6602310973,"Viceira, Luis M."
LUIS VICIERA,6602310973,"Viceira, Luis M."
LUISA LAMBERTINI,7006581715,"Lambertini, Luisa"
MAISY WONG,56117067800,"Wong, Maisy"
MALCOLM BAKER,7403075430,"Baker, Malcolm P."
MANJU PURI,7005722584,"Puri, Manju"
MARIA VASSALOU,6508281208,"Vassalou, Maria"
MARIACRISTINA DE NARDI,24764534000,"de Nardi, Mariacristina"
MARIO CRUCINI,6602929281,"Crucini, Mario J."
MARK AGUIAR,23392047000,"Aguiar, Mark"
MARK CAREY,23024301500,"Carey, Mark"
MARK DUTZ,6603317918,"Dutz, Mark Andrew"
MARK FLANNERY,7103128548,"Flannery, Mark J."
MARK GARMAISE,6505799540,"Garmaise, Mark J."
MARK GERTLER,7005881414,"Gertler, Mark L."
MARK ROBERTS,57190492381,"Roberts, Mark J."
MARKUS BRUNNERMEIER,56009422500,"Brunnermeier, Markus K."
MARSHALL REINSDORF,6507219926,"Reinsdorf, Marshall B."
MARTIN BAILY,6603817930,"Baily, Martin Nell"
MARTIN EVANS,35585929500,"Evans, Martin D.D."
MARTIN LETTAU,6603944251,"Lettau, Martin"
MARTIN OEHMKE,43461799200,"Oehmke, Martin"
MARTIN SCHNEIDER,57202768608,"Schneider, Martin"
MARTIN URIBE,19336384800,"Uribe, Martín N."
MATT KAHN,7402055394,"Kahn, Matthew E."
MATT RICHARDSON,7401976575,"Richardson, Matthew P."
