Fields,Journal,Scopus ID,ISSN,Class
Econ,American Economic Review,22697,0002-8282,AAA
Econ,Econometrica,19482,0012-9682,AAA
Econ,Journal of Political Economy,24404,0022-3808,AAA
Econ,Quarterly Journal of Economics,29431,0033-5533,AAA
Econ,Review of Economic Studies,24202,0034-6527,AAA
Econ,Economic Journal,23011,0013-0133,AA
Econ,European Economic Review,20749,0014-2921,AA
Econ,International Economic Review,23666,0020-6598,AA
Econ,Journal of the European Economic Association,7500153126,1542-4774,AA
Econ,Review of Economics and Statistics,24204,0034-6535,AA
Econ,Applied Economics,18768,0003-6846,A
Econ,Canadian Journal of Economics,21386,0008-4085,A
Econ,Economic Inquiry,20002,0095-2583,A
Econ,Economica,20048,0013-0427,A
Econ,Economics Letters,28490,0165-1765,A
Econ,Economy and Society,26043,0308-5147,A
Econ,Journal of Economic Literature,27165,0022-0515,A
Econ,Journal of Economic Perspectives,28980,0895-3309,A
Econ,Oxford Bulletin of Economics and Statistics,22902,0305-9049,A
Econ,Oxford Economic Papers,22903,0030-7653,A
Econ,Scandinavian Journal of Economics,24849,0347-0520,A
Econ,Southern Economic Journal,25494,0038-4038,A
Econ,Annales d'Economie et de Statistique,28855,0769-489X,B
Econ,Annals of Economics and Finance,19200156908,1529-7373,B
Econ,Applied Economics Letters,18769,1350-4851,B
Econ,B.E. Journal of Economic Analysis and Policy,8300153214,1935-1682,B
Econ,Bulletin of Economic Research,20097,0307-3378,B
Econ,CESifo Economic Studies,100147301,1610-241X,B
Econ,Contemporary Economic Policy,21995,1074-3529,B
Econ,Contributions to Economic Analysis and Policy,52856,1538-0645,B
Econ,Eastern Economic Journal,19455,0094-5056,B
Econ,Economic Record,20023,0013-0249,B
Econ,Economics Bulletin,6700153287,1545-2921,B
Econ,Empirical Economics,20642,0377-7332,B
Econ,European Journal of Political Economy,64461,0176-2680,B
Econ,German Economic Review,25564,1465-6485,B
Econ,Japan and the World Economy,28957,0922-1425,B
Econ,Japanese Economic Review,81032,1352-4739,B
Econ,Journal of Economic Education,24350,0022-0485,B
Econ,Journal of Economic Surveys,24353,0950-0804,B
Econ,Journal of Economics (Zeitschrift für Nationalökonomie),24356,0931-8658,B
Econ,Journal of Policy Analysis and Management,15821,0276-8739,B
Econ,Journal of the Japanese and International Economies,29401,0889-1583,B
Econ,Journal of the Royal Statistical Society: Series A (Statistics in Society),13530,0964-1998,B
Econ,Kyklos,16110,0023-5962,B
Econ,Manchester School,29020,1463-6786,B
Econ,Oxford Review of Economic Policy,22904,0266-903X,B
Econ,Research in Economics,23736,1090-9443,B
Econ,Ricerche Economiche,9700153221,0035-5054,B
Econ,Scottish Journal of Political Economy,24884,0036-9292,B
Econ,Social Science Quarterly,26439,0038-4941,B
Econ,Agenda,23036,1322-1833,C
Econ,Applied Economics Quarterly,21100902621,1611-6607,C
Econ,Konjunkturpolitik,,0023-3498,C
Econ,Atlantic Economic Journal,145660,0197-4254,C
Econ,Australian Economic Papers,18880,0004-900X,C
Econ,Australian Economic Review,18881,0004-9018,C
