Name,Scopus_ID,Scopus_name
ADAM ASHCRAFT,6602429118,"Rigobón, Roberto"
ADAM HALE SHAPIRO,55366244000,"Shapiro, Adam Hale"
ADAM REED,7202692643,"Reed, Adam V."
AKITO MATSUMOTO,7801632189,"Kalemli-Özcan, Şebnem"
ALBERT MARCET,6505918685,"Marcet, Albert"
ALBERT SAIZ,36194313500,"Saiz, Albert"
ALBERTO BISIN,6603061995,"Bisin, Alberto"
ALEH TSYVINSKI,55760822400,"Balleer, Almut"
ALEJANDRO IZQUIERDO,13105917000,"Izquierdo, Alejandro"
ALESSANDRO REBUCCI,56015397400,"Rebucci, Alessandro"
ALEX MONGE,26422454100,"Monge-Naranjo, Alexander"
ALEXANDER DAVID,23396651200,"David, Alexander"
ALEXANDER WOLMAN,7004109110,"Wolman, Alexander L."
ALEXEI ONATSKI,24376641200,"Lorenzoni, Guido"
ALEXIS ANAGNOSTOPOULOS,23026744600,"Anagnostopoulos, Alexis"
ALLAN TIMMERMANN,16029906800,"von Wachter, Till M."
ALVIN MURPHY,35789143100,"Murphy, Alvin D."
AMIR YARON,7006646386,"Yaron, Amir"
ANDREA PRAT,6602959115,"Klenow, Peter J."
ANDREA RAFFO,25630976000,"Raffo, Andrea"
ANDREAS HORNSTEIN,6701735872,"Alizadeh, Sassan"
ANDREAS LEHNERT,11940538200,"Lehnert, Andreas"
ANDREI LEVCHENKO,35960015300,"Levchenko, Andrei A."
ANDREI SHLEIFER,6602257726,"Fratzscher, Marcel"
ANDREW HAUGHWOUT,6603320180,"Haughwout, Andrew F."
ANDREW LEVIN,8613482700,"Mavroeidis, Sophocles"
ANDREW PATTON,56438695900,"Liu, Edith X."
ANDROS KOURTELLOS,6503947723,"Kourtellos, Andros"
ANDY LEVIN,7403194326,"Levin, Andrew T."
ANGELA GATULLI,35755871000,"Gattulli, Angela"
ANIL K KASHYAP,7101878064,"Kashyap, Anil K."
ANIL KASHYAP,7101878064,"Kashyap, Anil K."
ANNAMARIA LUSARDI,7004926273,"Sapienza, Paola"
ANTOINETTE SCHOAR,6505814876,"Schoar, Antoinette"
ANTONIO RANGEL,55197210600,"Rangel, Antonio"
ARVIND KRISHNAMURTHY,7005516119,"Krishnamurthy, Arvind"
ASANI SARKAR,7202674979,"Sarkar, Asani"
AUBHIK KHAN,7005640498,"Linton, Oliver B."
AVINASH DIXIT,55824766400,"Dixit, Avinash"
BEATRICE WEDER,7003406478,"Weder Di Mauro, Beatrice"
BEN EDEN,7003671171,"Eden, Benjamin"
BEN S. BERNANKE,55452891900,"Agarwal, Sumit"
BENJAMIN EDEN,7003671171,"Eden, Benjamin"
BERNADETTE MINTON,6602815840,"Minton, Bernadette A."
BILL DUPOR,6603559800,"Dupor, Bill"
BLAKE LEBARON,6701337045,"LeBaron, Blake D."
BORJA LARRAIN,16837128100,"Ramcharan, Rodney"
BOYAN JOVANOVIC,7005701459,"Jovanovic, Boyan"
BRENT AMBROSE,7006834427,"Ambrose, Brent William"
BRUCE PRESTON,10439211000,"Preston, Bruce"
BRYAN R. ROUTLEDGE,6603255760,"Routledge, Bryan R."
CARLEE MCLEISH,6504103759,"McLiesh, Caralee"
CARLOS CARVALHO,22235492700,"Verdelhan, Adrien"
CAROLINE HOXBY,6602597836,"Hoxby, Caroline Minter"
CATHERINE SCHRAND,6602350452,"Schrand, Catherine M."
CEDRIC TILLE,55900238200,"Tille, Cédric"
CHARLES CARLSTROM,57203380752,"Chen, Xiaohong"
CHARLES ENGEL,7102989698,"Engel, Charles"
CHARLES HIMMELBERG,6602502546,"Himmelberg, Charles P."
CHARLES JONES,55474251600,"Jones, Charles M."
CHESTER SPATT,6602234506,"Spatt, Chester S."
CHRIS DOWNING,56224163300,"Wallace, Nancy E."
CHRIS ERCEG,7801361043,"Erceg, Christopher J."
CHRIS MAYER,7202232626,"Mayer, Christopher J."
CHRISTIAN BRODA,6507947601,"Broda, Christian"
CHRISTIAN HAEFKE,6507457576,"Hæfke, Christian"
CHRISTIAN HELLWIG,7004184801,"Hellwig, Christian"
CHRISTIAN LEUZ,6602397487,"Leuz, Christian"
CHRISTOPH KLINGEN,55612485200,"Klingen, Christoph"
CHRISTOPHER J. ERCEG,7801361043,"Erceg, Christopher J."
CHRISTOPHER OTROK,8716236500,"Gopinath, Gita"
CHRISTOPHER SLEET,6602653079,"Sleet, Christopher"
CHRISTOPHER TIMMINS,6602821952,"Timmins, Christopher D."
CHUCK CARLSTROM,55931401700,"Carlstrom, Charles T."
CORNELIA KULLMAN,,
COSMIN ILUT,55339719000,"Ilut, Cosmin L."
CRAIG BURNSIDE,7003584662,"Burnside, A. Craig"
DANIEL LEVY,6506641986,"Piazzesi, Monika"
DANIELE TERLIZZESE,6507731368,"Terlizzese, Daniele"
DAVID ALTIG,6603951476,"Eichenbaum, Martin S."
DAVID BACKUS,6601996611,"Backus, David K."
DAVID BENJAMIN,33067442100,"Benjamin, David"
DAVID GREENLAW,57194273641,"Greenlaw, David"
DAVID K. BACKUS,6601996611,"Backus, David K."
DAVID LOPEZ-SALIDO,7102451433,"Lahiri, Amartya"
DAVID N. DEJONG,7004045556,"DeJong, David N."
DAVID RIDLEY,7102795547,"Ridley, David B."
DAVID SCHARFSTEIN,7003408304,"Scharfstein, David S."
DAVID SCHRANZ,,
DAVID SRAER,24377125300,"Thesmar, David J."
DAVID THESMAR,37046589200,"Chen, Joseph"
DAVID WEINSTEIN,35247685600,"Davis, Donald R."
DEBORAH LUCAS,7202026123,"Lucas, Deborah J."
DENNIS EPPLE,6701460925,"Epple, Dennis N."
DENNIS KRISTENSEN,22937960200,"Kristensen, Dennis"
DMITRIY STOLYAROV,6602843101,"Stolyarov, Dmitriy"
DOMENICO GIANNONE,56528089700,"Giannone, Domenico"
DONALD WALLS,,
DONGGYU SUL,7403358368,"Ng, Serena"
DOUG EVANOFF,6603216484,"Evanoff, Douglas D."
DWIGHT JAFFE,6602991513,"Jaffee, Dwight M."
EDWARD GLAESER,7003688582,"Glaeser, Edward"
EDWARD LEAMER,6603571634,"Leamer, Edward E."
EGON ZAKRAJSEK,16243074500,"Zakrajšek, Egon"
ELENA ANDREOU,6603947057,"Andreou, Elena"
ELENA LOUKOIANOVA,12041453300,"Loukoianova, Elena"
ENRICO MORETTI,7005593972,"Moretti, Enrico"
ENRIQUE MENDOZA,7006157135,"Mendoza, Enrique Gabriel"
ERIC GHYSELS,55943976800,"Rudebusch, Glenn D."
ERIC SWANSON,14632412700,"Pettenuzzo, Davide"
ERIC YOUNG,16744833200,"Young, Eric R."
