title,author,discussant,group,organizer,year,duration,start,Tilburg_Rank_unweighted_auth,Tilburg_Rank_weighted_auth,Tilburg_Rank_unweighted_dis,Tilburg_Rank_weighted_dis
-,"ANDREI SHLEIFER, Harvard University and NBER; DANIEL WOLFENZOHN, University of Michigan",7003408304,CF,Steven Kaplan; Luigi Zingales,2000,60.0,2000-08-08 15:20:00,,,,
-,"CHRIS EDMOND, UC, Los Angeles; LEE OHANIAN, UC, Los Angeles and NBER",,EFCE,Lawrence Christiano; Martin Eichenbaum,2003,60.0,2003-07-24 10:15:00,,,,
-,"LAURENCE MEYER, Former Governor of the Federal Reserve Board",,ME,Ben Bernanke,2002,60.0,2002-07-18 15:30:00,,,,
-,"HERVE LE BIHAN, Banque de France; KARL WHELAN, Central Bank and Financial Services Authority of Ireland",,ME,Christina D. Romer; David H. Romer,2004,45.0,2004-07-13 14:10:00,,,,
1/N,"VICTOR-ANGEL DEMIGUEL, London Business School; LORENZO GARLAPPI, University of Texas at Austin; RAMAN UPPAL, London Business School",6602310973,AP,Ravi Jagannathan; Tano Santos,2006,60.0,2006-07-13 15:30:00,192.0,499.6666666666667,1.0,1.0
50 YEARS OF INTERNATIONAL CAPITAL FLOWS: EVIDENCE AND TESTS OF THEORIES,"LEE OHANIAN, UC, Los Angeles and NBER; MARK WRIGHT, UC, Los Angeles",,EFCE,Lawrence Christiano; Martin Eichenbaum,2007,60.0,2007-07-20 09:00:00,7.0,10.0,,
A BLACK SWAN IN THE MONEY MARKET,"JOHN B. TAYLOR, Stanford University and NBER; JOHN C. WILLIAMS, Federal Reserve Bank of San Francisco",,ME,Christina Romer; David Romer,2008,55.0,2008-07-10 15:00:00,3.0,4.0,,
A CALIBRATABLE MODEL OF OPTIMAL CEO INCENTIVES IN MARKET EQUILIBRIUM,"ALEX EDMANS, University of Pennsylvania; XAVIER GABAIX, New York University and NBER; AUGUSTIN LANDIER, New York University",6602431067,CF,David Scharfstein,2007,50.0,2007-07-31 09:50:00,10.666666666666666,27.0,3.0,2.0
A CENTURY OF STOCK MARKET LIQUIDITY AND TRADING COSTS,"CHARLES JONES, Columbia University",7202026123,AP,Kent Daniel; Owen Lamont,2001,60.0,2001-07-20 14:00:00,16.0,23.0,20.0,34.0
A CENTURY OF WORK AND LEISURE,"VALERIE RAMEY, UC, San Diego and NBER; NEVILLE FRANCIS, Lehigh University",,EFCE,Lawrence Christiano; Martin Eichenbaum,2005,60.0,2005-07-21 11:30:00,236.5,235.0,,
