presentation_title,nber_wp,published_version,eid,comment
1/N,,OPTIMAL VERSUS NAIVE DIVERSIFICATION: HOW INEFFICIENT IS THE 1/N PORTFOLIO STRATEGY?,2-s2.0-84924412832,
A BLACK SWAN IN THE MONEY MARKET,13943,A BLACK SWAN IN THE MONEY MARKET,2-s2.0-85017167724,
A CALIBRATABLE MODEL OF OPTIMAL CEO INCENTIVES IN MARKET EQUILIBRIUM,13372,A MULTIPLICATIVE MODEL OF OPTIMAL CEO INCENTIVES IN MARKET EQUILIBRIUM,2-s2.0-73449137204,
A CENTURY OF WORK AND LEISURE,12264,A CENTURY OF WORK AND LEISURE,2-s2.0-85017112403,
A DYNAMIC THEORY OF OPTIMAL CAPITAL STRUCTURE AND EXECUTIVE COMPENSATION,11083,A DYNAMIC THEORY OF OPTIMAL CAPITAL STRUCTURE AND EXECUTIVE COMPENSATION,,SED
A FISTFUL OF DOLLARS: LOBBYING AND THE FINANCIAL CRISIS,17076,A FISTFUL OF DOLLARS: LOBBYING AND THE FINANCIAL CRISIS,2-s2.0-84865584527,
A FRAMEWORK FOR IDENTIFYING THE SOURCES OF LOCAL-CURRENCY PRICE STABILITY WITH AN EMPIRICAL APPLICATION,,A STRUCTURAL APPROACH TO IDENTIFYING THE SOURCES OF LOCAL CURRENCY PRICE STABILITY,2-s2.0-84873579815,
A GAME THEORETIC VIEW OF THE FISCAL THEORY OF THE PRICE LEVEL,,A GAME-THEORETIC VIEW OF THE FISCAL THEORY OF THE PRICE LEVEL,2-s2.0-0036435320,
A HABIT-BASED EXPLANATION OF THE EXCHANGE RATE RISK PREMIUM,,A HABIT-BASED EXPLANATION OF THE EXCHANGE RATE RISK PREMIUM,2-s2.0-74249122981,
A LEVERAGE-BASED MODEL OF SPECULATIVE BUBBLES,,A LEVERAGE-BASED MODEL OF SPECULATIVE BUBBLES,2-s2.0-84906535602,
"A MACRO-FINANCE MODEL OF THE TERM STRUCTURE, MONETARY POLICY, AND THE ECONOMY",,"A MACRO-FINANCE MODEL OF THE TERM STRUCTURE, MONETARY POLICY AND THE ECONOMY",2-s2.0-45749088173,
A MACROECONOMIC MODEL WITH A FINANCIAL SECTOR,,A MACROECONOMIC MODEL WITH A FINANCIAL SECTOR,2-s2.0-84894198103,
A MODEL OF SHADOW BANKING,17115,A MODEL OF SHADOW BANKING,2-s2.0-84880444367,
A MULTIPLE LENDER APPROACH TO UNDERSTANDING SUPPLY AND SEARCH IN THE EQUITY LENDING MARKET,,A MULTIPLE LENDER APPROACH TO UNDERSTANDING SUPPLY AND SEARCH IN THE EQUITY LENDING MARKET,2-s2.0-84874909682,
"A NEW HISTORY OF BANKING PANICS IN THE UNITED STATES, 1825-1929: CONSTRUCTION AND IMPLICATIONS",,"A NEW HISTORY OF BANKING PANICS IN THE UNITED STATES, 1825-1929: CONSTRUCTION AND IMPLICATIONS",2-s2.0-84936862673,
A NEW KEYNESIAN MODEL WITH UNEMPLOYMENT,,LABOR MARKETS AND MONETARY POLICY: A NEW KEYNESIAN MODEL WITH UNEMPLOYMENT,2-s2.0-85017171171,
A NEW MICRO MODEL OF EXCHANGE RATE DYNAMICS,10379,,,
A NO-ARBITRAGE VECTOR AUTOREGRESSION OF TERM STRUCTURE DYNAMICS WITH MACROECONOMIC & LATENT VARIABLES,8363,A NO-ARBITRAGE VECTOR AUTOREGRESSION OF TERM STRUCTURE DYNAMICS WITH MACROECONOMIC AND LATENT VARIABLES,2-s2.0-0037905686,
A NONLINEAR FACTOR ANALYSIS OF BUSINESS CYCLES WITH A LARGE DATA SET: EVIDENCE FROM JAPAN AND THE U.S.,,NONLINEAR FORECASTING ANALYSIS USING DIFFUSION INDEXES: AN APPLICATION TO JAPAN,2-s2.0-22544462807,
