title,group,year,abstract
"Consumption, Aggregate Wealth and Expected Stock Returns",AP,2000,
Evaluating and Investing in Equity Mutual Funds,AP,2000,
Expectations Hypotheses Tests,AP,2000,
Labor Income and Predictable Stock Returns,AP,2000,"We propose and test a novel economic mechanism that generates time varying expected returns. In our model, investors' income has two sources, wages and dividens, that grow stochastically over time. As a consequence, the fraction of total income produced by wages changes over time depending on economic conditions. We show that as this fraction fluctuates, the risk premium that investors require to hold stocks varies as well. Tests of the main implications of the model are strongly confirmed in the data. A regression of stock returns on lagged values of the labor income to consumption ration produces statistically significant coefficients and adjusted R-squared's that are larger than those generated when using the dividend price ratio. We also derive and test the model's implications for the cross section. We find considerable improvements on the performance of both the conditional CAPM and CCAPM when compared to their unconditional counterparts."
Momentum Profits and the Autocorrelation of Returns,AP,2000,"This paper investigates the autocorrelation patterns in stock returns to better understand the source of momentum profits. The autocorrelations provide no evidence that investors underreact to new information. Over intermediate horizons of one to 18 months, higher past returns for stock portfolios are almost always associated with lower future returns during the period 1941 – 1997. Cross-serial correlations among stocks are also negative and, using the framework of Lo and MacKinlay (1990), appear to explain the profitability of momentum strategies. The evidence suggests that stocks covary ‘too strongly’ with each other, so that momentum profits and excess volatility in aggregate returns represent the same phenomenon."
Risks for the Long Run: A Resolution of Asset Pricing Puzzles,AP,2000,"In this paper we model dividend and consumption growth rates as having a small long-run predictable component. Such a component, for which we provide empirical support, plays a very signi cant role in determining asset prices. We show that, in equilibrium, these growth rate dynamics in conjunction with 'plausible' parameter con gurations of the Epstein and Zin (1989) preferences can explain key observed asset markets phenomena. In particular, the model is capable of justifying the observed equity premium, the low risk free rate, and the volatilities of the market return and the real risk free rate."
Spurious Regressions in Financial Economics?,AP,2000,"We study biases associated with regression models in which persistent lagged variables predict stock returns, either linearly or in interaction with contemporaneous values of a market index return. We focus on the issue of spurious regression, related to the classic studies of Yule (1926) and Granger and Newbold (1974). We find that spurious regression is a concern in regressions of stock returns on persistent lagged instruments, especially when the predictable component of returns is large. In regressions where the lagged instruments interact with a market index return, the spurious regression problem is not as severe. Without persistent time-variation in the expected market return and beta, spurious regression bias is not an important issue. However, when a common persistent factor drives expected market returns and betas, spurious regression becomes a concern. Large sample sizes are no defense against the spurious regression bias."
The Value Spread,AP,2000,
Bookbuilding and Strategic Allocation,CF,2000,
Does Corporate Diversification Destroy Value?,CF,2000,
Does Distance Still Matter? The Information Revolution In Small Business Lending?,CF,2000,"The distance between small firms and their lenders in the United States is increasing. Not only are firms choosing more distant lenders, they are also communicating with them in more impersonal ways. After documenting these systematic changes, we demonstrate that they do not stem from small firms locating differently, from consolidation in the banking industry, or from biases in the sample. Instead, they seem correlated with improvements in bank productivity. We conjecture that greater, and more timely, availability of borrower credit records, as well as the greater ease of processing these may explain the greater amount of lending at a distance. Consistent with such an explanation, unlike in the past, distant firms no longer have to be observably the highest quality credits, suggesting that a wider cross-section of firms can now obtain funding from a particular lender. These findings, we believe, are direct evidence that there has been substantial development of the financial sector in the past few years in the United States, even in areas such as small business lending that have not been directly influenced by the growth in public markets. From a policy perspective, that small firms now obtain wider access to financing suggests the consolidation of banking services may not raise as strong anti-trust concerns as in the past."
Does Shareholder Composition Affect Stock Returns?,CF,2000,
Product Market Competition and Credit Provision,CF,2000,
