journal,year,name,scopus_id,managing_editor,editor,associate_editor
JBF,1996,"Tschoegl, Adrian E.",6603694540,0,0,1
JBF,1996,"Eberhart, Allan C.",7003364686,0,0,1
JBF,1996,"Berger, Allen N.",7402970440,0,0,1
JBF,1996,"Thakor, Anjan V.",6701596295,0,0,1
JBF,1996,"Santomero, Anthony M.",6603001577,0,0,1
JBF,1996,"Saunders, Anthony",7201876725,1,0,0
JBF,1996,"Sametz, Arnold W.",56914948700,0,0,1
JBF,1996,"Boot, Arnoud W. A.",56218676800,0,0,1
JBF,1996,"Schachter, Barry",7003932889,0,0,1
JBF,1996,"Jacquillat, Bertrand C.",24369189400,0,0,1
JBF,1996,"Solnik, Bruno H.",6603109369,0,0,1
JBF,1996,"Harvey, Campbell R.",35608333700,0,0,1
JBF,1996,"Calomiris, Charles W.",6603792210,0,0,1
JBF,1996,"Eun, Cheol S.",7004074630,0,0,1
JBF,1996,"Loderer, Claudio F.",6507407123,0,0,1
JBF,1996,"Humphrey, David Burras",7101763568,0,0,1
JBF,1996,"Webb, David C.",7401528659,0,0,1
JBF,1996,"Logue, Dennis E.",7005569381,0,0,1
JBF,1996,"Hancock, Diana G.",7102173611,0,0,1
JBF,1996,"Diamond, Douglas W.",7102619783,0,0,1
JBF,1996,"Altman, Edward I.",35883941800,1,0,0
JBF,1996,"Elton, Edwin J.",7004733547,0,0,1
JBF,1996,"Dimson, Elroy",6602227002,0,0,1
JBF,1996,ENRICO BARONE,,0,0,1
JBF,1996,"Baltensperger, Ernst",6507097136,0,0,1
JBF,1996,"Longstaff, Francis A.",6603883889,0,0,1
JBF,1996,"Modigliani, Franco",6603272526,0,0,1
JBF,1996,"Tullio, Giuseppe",6602930567,0,0,1
JBF,1996,"Bierwag, Gerald O.",6508310051,0,0,1
JBF,1996,"Gandolfo, Giancarlo",24362870000,0,0,1
JBF,1996,"Szegö, Giorgio P.",6603344362,1,0,0
JBF,1996,"Barone-Adesi, Giovanni",6602332174,0,0,1
JBF,1996,"Udell, Gregory F.",6602780882,0,0,1
JBF,1996,"Swary, ITZHAK",6506488251,0,0,1
JBF,1996,"Dermine, Jean",6603240742,0,0,1
JBF,1996,"Stein, Jerome L.",7402750519,0,0,1
JBF,1996,"Lakonishok, Josef",6602136903,0,0,1
JBF,1996,"Sinkey, Joseph F.",6701428165,0,0,1
JBF,1996,"Franks, Julian R.",7102000625,0,0,1
JBF,1996,"John, Kose",7102914448,0,0,1
JBF,1996,L W SENBERT,,0,0,1
JBF,1996,"Goldberg, Lawrence G.",7402444873,0,0,1
JBF,1996,"Allen, Linda",7401630953,0,0,1
JBF,1996,"Mester, Loretta J.",7007037635,0,0,1
JBF,1996,"Flannery, Mark J.",7103128548,0,0,1
JBF,1996,"Sarnat, Marshall",6506963904,1,0,0
JBF,1996,"Gruber, Martin J.",7102781899,0,0,1
JBF,1996,"Adler, Michael",36004624900,0,0,1
JBF,1996,"Crouhy, Michel G.",6508077329,0,0,1
JBF,1996,PAL E KORSVOLD,,0,0,1
JBF,1996,"Rajan, Raghuram G.",7101892426,0,0,1
JBF,1996,"Sweeney, Richard James",7101611024,0,0,1
JBF,1996,"Roll, Richard",7006002256,0,0,1
JBF,1996,"Eisenbeis, Robert A.",6602374002,0,0,1
JBF,1996,"Merton, Robert C.",7003952399,0,0,1
JBF,1996,"Officer, R. R.",24566254300,0,0,1
JBF,1996,"Beckers, Stan",6603637871,0,0,1
JBF,1996,"Takagi, Shinji",8574043900,0,0,1
JBF,1996,"Smith, Stanley D.",55702268100,0,0,1
JBF,1996,"Rhoades, Stephen A.",6602731191,0,0,1
JBF,1996,"Errunza, Vihang R.",6603286668,0,0,1
JBF,1996,"Chan, Yukshee",55464597600,0,0,1
JF,1996,"Admati, Anat R.",6507618728,0,0,1
JF,1996,"Raviv, Artur",7004166893,0,0,1
JF,1996,"Harvey, Campbell R.",35608333700,0,0,1
