scopus_id,year,managing_editor,editor,associate_editor
6503994055,2009,,Finance Research Letters,
6503994055,2010,,Finance Research Letters,
6503994055,2014,,,Journal of Monetary Economics; American Economic Journal: Macroeconomics
6503994055,2015,,,Journal of Monetary Economics; American Economic Journal: Macroeconomics
6503994055,2016,,,Journal of Monetary Economics; American Economic Journal: Macroeconomics; Review of Income Dynamics; Journal of Finance
6503994055,2017,,,Journal of Monetary Economics; American Economic Journal: Macroeconomics; Review of Income Dynamics; Journal of Finance
6503994055,2018,,,Journal of Monetary Economics; American Economic Journal: Macroeconomics; Review of Income Dynamics; Journal of Finance
6503994055,2019,,,Journal of Monetary Economics; American Economic Journal: Macroeconomics; Review of Income Dynamics; Journal of Finance
6505493534,2015,,,Review of Financial Studies
6505493534,2016,,,Review of Financial Studies
6505493534,2017,,,Review of Financial Studies
6505493534,2018,,,Review of Financial Studies
6505493534,2019,,,Journal of Finance
6505799540,2002,,,Review of Financial Studies
6505799540,2003,,,Review of Financial Studies
6505799540,2004,,,Review of Financial Studies
6505799540,2005,,,Review of Financial Studies
6505799540,2015,,,"Journal of Law, Finance, and Accounting"
6505799540,2016,,,"Journal of Law, Finance, and Accounting"
6505799540,2017,,,"Journal of Law, Finance, and Accounting"
6505799540,2018,,,"Journal of Law, Finance, and Accounting"
6505799540,2019,,,"Journal of Law, Finance, and Accounting"
6505814876,2006,,,Journal of Finance
6505814876,2007,Journal of Economic Perspectives,,Journal of Finance; American Economic Journal: Applied Economics
6505814876,2008,Journal of Economic Perspectives,,Journal of Finance; American Economic Journal: Applied Economics
6505814876,2009,,,Journal of Finance; American Economic Journal: Applied Economics
6505814876,2010,,,Journal of Finance
6505814876,2011,,,Journal of Finance
6505814876,2012,,Annual Review of Financial Economics,Journal of Finance
6505814876,2013,,Annual Review of Financial Economics,Journal of Finance
6505814876,2014,,Annual Review of Financial Economics,Journal of Finance
6505814876,2015,,Annual Review of Financial Economics,
6505814876,2016,,Annual Review of Financial Economics,
6505814876,2017,,Annual Review of Financial Economics,
6505814876,2018,,Annual Review of Financial Economics,
6505814876,2019,,Annual Review of Financial Economics,
6505868404,2003,,,Journal of International Economics
6505868404,2004,,,Journal of International Economics
6505868404,2005,,,Journal of International Economics
6505868404,2006,,,Journal of International Economics
6505868404,2007,,,Journal of International Economics
6505868404,2008,,,Journal of International Economics
6505868404,2009,IMF Economic Review,,Journal of International Economics
6505868404,2010,IMF Economic Review,,
6505868404,2011,IMF Economic Review,,
6505868404,2012,IMF Economic Review,,
6505868404,2013,IMF Economic Review,,
6505868404,2014,IMF Economic Review,,
6505868404,2015,IMF Economic Review,,
6505868404,2016,IMF Economic Review,,
6505868404,2017,Journal of International Economics,,
6505868404,2018,Journal of International Economics,,
6505885011,2005,,,Econometric Theory; Journal of Business and Economic Statistics; Journal of Financial Econometrics
