title,author,year,group
50 YEARS OF INTERNATIONAL CAPITAL FLOWS: EVIDENCE AND TESTS OF THEORIES,"LEE OHANIAN, UC, Los Angeles and NBER; MARK WRIGHT, UC, Los Angeles",2007,EFCE
A CENTURY OF STOCK MARKET LIQUIDITY AND TRADING COSTS,"CHARLES JONES, Columbia University",2001,AP
A DYNAMIC MODEL OF THE HOUSING MARKET WITH A NEW TEST FOR MARKET EFFICIENCY,"PATRICK BAYER, Duke University and NBER; ROBERT MCMILLAN, University of Toronto; ALVIN MURPHY, Duke University; CHRISTOPHER TIMMINS, Duke University",2007,PERE
A FORMAL STATISTICAL TEST FOR THE NUMBER OF FACTORS IN THE APPROXIMATE FACTOR MODELS,"ALEXEI ONATSKI, Columbia University",2007,EFFE
A MONETARY SHOCK IN AN UNCERTAIN AND SEQUENTIAL TRADE MODEL,"BENJAMIN EDEN, University of Haifa",2000,EFCE
A NEW MICRO MODEL OF EXCHANGE RATE DYNAMICS,"MARTIN EVANS, Georgetown University and NBER; RICHARD LYONS, UC, Berkeley and NBER",2004,AP
A NEW MICRO MODEL OF EXCHANGE RATE DYNAMICS,"MARTIN EVANS, Georgetown University and NBER; RICHARD LYONS, UC, Berkeley and NBER",2003,IFM
A NONLINEAR MODEL OF THE BUSINESS CYCLE,"EDWARD LEAMER, UC, Los Angeles and NBER; SIMON POTTER, Federal Reserve Bank of New York",2003,EFFE
A PARSIMONIOUS MACROECONOMIC MODEL FOR ASSET PRICING: HABIT FORMATION OR CROSS-SECTIONAL HETEROGENEITY,"M. FATIH GUVENEN, University of Rochester",2003,AP
A REAL OPTIONS APPROACH TO HOUSING INVESTMENT,"CHRIS DOWNING, Federal Reserve Board; NANCY WALLACE, UC, Berkeley",2000,PERE
A SIMPLE BENCHMARK FOR FORECASTS OF GROWTH AND INFLATION,"MASSIMILIANO MARCELLINO, Bocconi University",2006,EFFE
A STRUCTURAL BREAK IN U.S. GDP?,"DAVID N. DEJONG, University of Pittsburgh; ROMAN LISENFELD, University of Pittsburgh; JEAN-FRANCOIS RICHARD, University of Pittsburgh",2003,EFFE
A UNIFIED FRAMEWORK FOR MEASURING PREFERENCES FOR SCHOOLS AND NEIGHBORHOODS (AND DATA DETAILS),"PATRICK BAYER, Yale University; FERNANDO FERREIRA, UC, Berkeley; ROBERT MCMILLAN, University of Toronto",2003,PERE
"A, B, C'S (AND D)'S FOR UNDERSTANDING VARS","JESUS FERNANDEZ-VILLAVERDE, University of Pennsylvania and NBER; JUAN F. RUBIO-RAMIREZ, Federal Reserve Bank of Atlanta; THOMAS J. SARGENT, New York University and NBER",2005,EFCE
ADJUSTING TO CAPITAL LIBERALIZATION,"KOSUKE AOKI, London School of Economics; GIANLUCA BENIGNO, London School of Economics; NOBUHIRO KIYOTAKI, London School of Economics and NBER; PAOLO PESENTI, Federal Reserve Bank of New York and NBER",2006,IFM
"AGE, LUCK AND INHERITANCE","JESS BENHABIB, New York University and NBER; Shenghao Zhu, New York University",2008,EFCE
"AGENCY CONFLICTS, ASSET SUBSTITUTION, AND SECURITIZATION","CHRIS MAYER, Columbia University and NBER; YINGJIN HILA GAN, Lehman Brothers",2006,PERE
AGGLOMERATION ECONOMIES AND THE HIGH-TECH COMPUTER CLUSTER,"NANCY WALLACE, UC, Berkeley; DONALD WALLS, Walls Associates",2004,PERE
AGGREGATE RISK IN JAPANESE EQUITY MARKETS,"R. ANTON BRAUN, University of Tokyo; ETSURO SHIOJI, Yokohama National University",2003,EFCE
AGREEING NOW TO AGREE LATER: CONTRACTS THAT RULE OUT BUT DO NOT RULE IN,"OLIVER HART, Harvard University and NBER; JOHN MOORE, London School of Economics",2004,CF
AN ALTERNATIVE SENSE OF ASYMPTOTIC EFFICIENCY,"ULRICH MULLER, Princeton University",2008,EFFE
AN EMPIRICAL COMPARISON OF METHODS FOR FORECASTING USING MANY PREDICTORS,"JAMES STOCK, Harvard University and NBER; MARK WATSON, Princeton University and NBER",2005,EFFE
AN ESTIMATED GENERAL EQUILIBRIUM MODEL FOR THE ANALYSIS OF MONETARY POLICY,"DAVID ALTIG, Federal Reserve Bank of Cleveland; LAWRENCE CHRISTIANO, Northwestern University and NBER; MARTIN EICHENBAUM, Northwestern University and NBER; JESPER LINDE, Sveriges Riksbank",2002,EFCE
AN UNBIASED & POWERFUL TEST FOR SUPERIOR PREDICTIVE ABILITY,"PETER REINHARD HANSEN, Brown University",2001,EFFE
ANTICIPATED RAMSEY REFORMS AND THE UNIFORM TAXATION PRINCIPLE THE ROLE OF INTERNATIONAL FINANCIAL MARKETS,"STEFANIE SCHMITT-GROHE, Rutgers University and NBER; MARTIN URIBE, University of Pennsylvania and NBER",2002,EFCE
ARE UNDERSERVED BORROWERS LOWER RISK? NEW EVIDENCE ON THE PERFORMANCE AND PRICING OF FHA-INSURED MORGAGES,"YONGHENG DENG, University of Southern California;STUART GABRIEL, University of Southern California",2003,PERE
"ASSET INDIVISIBILITY, SECURITY DESIGN, AND ASSET QUALITY","CHRIS DOWNING, Rice University; DWIGHT JAFFE, UC, Berkeley; NANCY WALLACE, UC, Berkeley",2006,PERE
ASSET-PRICE CHANNELS AND MACROECONOMIC FLUCTUATIONS,"ZHENG LIU, Federal Reserve Bank of San Francisco; PENGFEI WANG, Hong Kong University of Science and Technology; TAO ZHA, Federal Reserve Bank of Atlanta",2009,EFCE
ASYMPTOTIC DISTRIBUTION OF PRINCIPAL COMPONENTS ESTIMATOR OF LARGE SPHERICAL FACTOR MODELS,"ALEXEI ONATSKI, Columbia University",2006,EFFE
BANKING CRISES AND CRISES DATING: THEORY AND EVIDENCE,"JOHN BOYD, University of Minnesota; GIANNI DE NICOLÒ, International Monetary Fund; ELENA LOUKOIANOVA, International Monetary Fund",2009,EFEL
BIASES IN MACROECONOMIC FORECASTS: IRRATIONALITY OR ASYMMETRIC LOSS?,"IVANA KOMUNJER, California Institute of Technology; GRAHAM ELLIOTT, UC, San Diego; ALLAN TIMMERMANN, UC, San Diego",2004,EFFE
BIDDING FOR INDUSTRIAL PLANTS: DOES WINNING A 'MILLION DOLLAR PLANT' INCREASE WELFARE?,"MICHAEL GREENSTONE, University of Chicago and NBER; ENRICO MORETTI, UC, Los Angeles and NBER",2003,PERE
BORROWERS' FINANCIAL CONSTRAINTS AND THE TRANSMISSION OF MONETARY POLICY: EVIDENCE FROM FINANCIAL CONGLOMERATES,"ADAM ASHCRAFT, Federal Reserve Bank of New York; MURILLO CAMPELLO, University of Illinois at Urbana-Champaign",2005,ME
BURSTING BUBBLES: CONSEQUENCES AND CURES,"NARAYANA R. KOCHERLAKOTA, University of Minnesota and NBER",2009,EFEL
CALIBRATING AN AGENT-BASED FINANCIAL MARKET,"BLAKE LEBARON, Brandeis University and NBER",2003,AP
CAN HETEROGENEITY IN PRICE STICKINESS ACCOUNT FOR THE DISPERSION IN THE LAW OF ONE PRICE DEVIATIONS?,"PATRICK KEHOE, Federal Reserve Bank of Minneapolis and NBER; VIRGILIU MIDRIGAN, Federal Reserve Bank of Minneapolis and NBER",2007,IFM
