eid,year,references,journals
2-s2.0-85013018671,2000,0003053860|0030691138|0033148105|84960378324|84976351865|84962460141|84991358628|84991480394|84949218684|84963774167|84949094523|84940610707|84928355322|84939958844|84906725332|84903881598|84899980405|84902117108|84896285592|84887222870|84865728760|84994247448|84874296674|84874736432|84877337143|84869224691|84865264205|84861921457,Journal of Economic Perspectives|Annual World Bank conference on development economics 1996|Journal of Monetary Economics|Latin American Economic Review|Open Economies Review|Applied Economics|International Journal of Finance and Economics|Journal of Asian Economics|Applied Economics Letters|Oxford Economic Papers|Economic Modelling|Open Economies Review|Ensayos Sobre Politica Economica|International Review of Economics and Finance|North American Journal of Economics and Finance|Economic Change and Restructuring|Journal of Macroeconomics|Asian Economic Journal|Journal of International Money and Finance|Journal of International Money and Finance|Applied Economics|International Economics|Energy Economics|Journal of International Money and Finance|Journal of Post Keynesian Economics|Economic Systems|Journal of International Trade and Economic Development|Journal of Asian Economics
2-s2.0-0041152046,2000,58149326397|84960569468|0000058232|0000773694|0002342691|84971768389,Games and Economic Behavior|Quarterly Journal of Economics|Econometrica|Quarterly Journal of Economics|Journal of Economic Behavior and Organization|American Political Science Review
2-s2.0-0040951596,2000,0013345309|84984076284|0030097024|0001113298|0001098540|84988074995|0031527842|38149145244|0012006828|0032387703|38249028599|84959812005|0030305099|0347309239|0000212579|85076457920|0000793916|0001655392|0029528227|0000887602,Stanford Law Review|Real Estate Economics|Economics Letters|Review of Economic Studies|Journal of Economic Theory|Journal of Economics & Management Strategy|Journal of Economics and Management Strategy|Journal of Business Venturing|Quarterly Journal of Economics|RAND Journal of Economics|European Economic Review|Review of Economic Studies|Economics Letters|International Economic Review|American Economic Review|RAND Journal of Economics|Journal of Economic Perspectives|Review of Economic Studies|American Economic Review|Journal of Financial Economics
2-s2.0-0040951469,2000,,
2-s2.0-0040951435,2000,85013935088|0001581710,Journal of Economic History|Review of Economic Studies
2-s2.0-0040951433,2000,79959363121|84963108496,National Institute Economic Review|Review of Economic Studies
2-s2.0-0040951431,2000,0034077757|0030560548|84997994340,"Journal of Political Economy|RAND Journal of Economics|Journal of Accounting, Auditing & Finance"
2-s2.0-0040951430,2000,0040016233,Journal of Economic Perspectives
2-s2.0-0040951429,2000,0015069639|0022495612|0020536344|0014592368|0020773719|0018934407,Pediatrics|American Journal of Public Health|Pediatrics|American journal of public health and the nation's health|Medical Care|Obstetrics and Gynecology
2-s2.0-0040951428,2000,0032366191|0024843114|0009917644|0030075054,Southern Economic Journal|Canadian Journal of Development Studies / Revue canadienne d'études du développement|American Economic Review|Demography
2-s2.0-0040951424,2000,0039648479|0027687018|0033389376,Quarterly Journal of Economics|Journal of labor economics|Journal of Political Economy
2-s2.0-0040951423,2000,,
2-s2.0-0040951414,2000,,
2-s2.0-0040951409,2000,84960565609|0000487519|27744568768|21344486427|0030300565|84965395411|38249001573,Quarterly Journal of Economics|Review of Economic Studies|Journal of Political Economy|South African Journal of Economics|Politics and Society|Rationality and Society|Journal of Econometrics
2-s2.0-0040776961,2000,84968876038|0001841388|0029908088|84960609570|0027770211|0029472176|85047672931|0030693142|77956827621|49049138362|0025946813|84960572999|0030137319|0344847593,Journal of Public Economics|American Economic Review|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Political Economy|Quarterly Journal of Economics|Journal of Population Economics|Journal of Political Economy|Handbook of Labor Economics|Journal of Public Economics|Journal of Political Economy|Quarterly Journal of Economics|Journal of Public Economics|Handbook of Labor Economics
2-s2.0-0040735894,2000,85022000243,American Economic Review
2-s2.0-0040735889,2000,84962698725|84980122258|45549121614|85017030502,Review of Economic Studies|Kyklos|Journal of Monetary Economics|Journal of Political Economy
2-s2.0-0040609204,2000,0039648479|0023128819,Quarterly Journal of Economics|Family Planning Perspectives
2-s2.0-0040357442,2000,,
2-s2.0-0040357412,2000,0000271911,American Economic Review
2-s2.0-0040357411,2000,0012941517|0003158157|0002312733|0008267015|0000271911|0009573287|0000741256,American Economic Review|Monthly Labor Review|Monthly Labor Review|Journal of The Japanese and International Economies|American Economic Review|Brookings Papers on Economic Activity|Economic Inquiry
2-s2.0-0040357410,2000,,
2-s2.0-0040357409,2000,,
2-s2.0-0040357399,2000,77956739155|0030430296,Handbook of Labor Economics|Journal of Political Economy
