eid,year,references,journals
2-s2.0-85005900957,2000,0001179485|84929837036|84923818429|84964203940|0030363303|0040690947|0025815687|85071343153,Econometrica|Journal of the American Statistical Association|Journal of the American Statistical Association|Statistical Science|Econometrica|Journal of Multivariate Analysis|Biometrics|Econometric Reviews
2-s2.0-4644330595,2000,0000602479|0002454659|0027006898|0031411210|0038980895,Quarterly Journal of Economics|Journal of Econometrics|American Economic Review|American Economic Review|Quarterly Journal of Economics
2-s2.0-1942434900,2000,34249968243|0000814239|0001062198|46149129172|0039088487|0003004346,Annals of Operations Research|Journal of Economic Theory|American Economic Review|Journal of Economic Theory|Journal of Economic Theory|Theory and Decision
2-s2.0-18744407634,2000,84984018010|30244539336|0001654296|85015692260|84984038356|0031525479|0001420605|84977325646|84983940708|84983945967|0000353219,Real Estate Economics|Regional Science and Urban Economics|Journal of the American Statistical Association|Journal of Political Economy|Real Estate Economics|Journal of Real Estate Finance and Economics|Regional Science and Urban Economics|The Journal of Finance|Real Estate Economics|Real Estate Economics|The Journal of Real Estate Finance and Economics
2-s2.0-18744379531,2000,0006237916|0001047554|84932894340|0011638869,European Economic Review|Journal of Econometrics|Journal of the American Statistical Association|Journal of the American Statistical Association
2-s2.0-18744366420,2000,0011595029|0030123827|84933487728|0000073539|84960612695|0001458129|0011370530,The Journal of Mathematical Sociology|Games and Economic Behavior|The Journal of Mathematical Sociology|Review of Economic Studies|Quarterly Journal of Economics|Journal of Economic Theory|Econometrica
2-s2.0-0742274593,2000,0001147946|84963050668|0001296370,Econometrica|Review of Economic Studies|Journal of Mathematical Economics
2-s2.0-0442303770,2000,0000328680|38249019715|84963002149|0032219873|0001760867|0032326158,Econometrica|Journal of Econometrics|Review of Economic Studies|Economic Theory|Econometrica|Journal of Business and Economic Statistics
2-s2.0-0242505570,2000,0030269024|0029822255|0000805593,Journal of Economic Theory|American Economic Review|Review of Economic Studies
2-s2.0-0141530593,2000,0040644411|0000658358|84864386741|38249003714,Annals of Statistics|Journal of Econometrics|Journal of the American Statistical Association|Journal of Econometrics
2-s2.0-0013186534,2000,0040991383|0000462734|0000121966,Journal of Economic Theory|Journal of Economic Theory|Journal of Economic Theory
2-s2.0-0012794758,2000,0016355478|0015894045|84894912254|84986792205|0014176910|34250409798,IEEE Transactions on Automatic Control|Biometrika|Journal of the American Statistical Association|Journal of Time Series Analysis|Biometrika|Zeitschrift für Wahrscheinlichkeitstheorie und Verwandte Gebiete
2-s2.0-0012752455,2000,0012658261|0003056178|0001233683|0002246315|38249024979|77956847758,Journal of Mathematical Economics|Journal of Mathematical Economics|Journal of Mathematical Economics|Journal of Mathematical Economics|Journal of Mathematical Economics|Handbook of Mathematical Economics
2-s2.0-0008872307,2000,38248999585|0002631398|0000124252|0002697015|0006219643|0000948830|0000336211|46149134052,Journal of Economic Theory|Journal of Economic Theory|Review of Economic Studies|Review of Economic Studies|Journal of Economic Theory|Games and Economic Behavior|Journal of Economic Theory|Journal of Economic Theory
2-s2.0-0008805887,2000,0042709036|21844486012,Review of Economic Studies|Economics Letters
2-s2.0-0006036892,2000,0031540849|84963015050|84993915181|84993843848|0011461960|0001239359|84993613651|84959840668,Review of Financial Studies|Quarterly Journal of Economics|The Journal of Finance|The Journal of Finance|Review of Economic Studies|Journal of Economic Theory|The Journal of Finance|Review of Economic Studies
