eid,year,references,journals
2-s2.0-0034511189,2000,84971725007|84971750693|0032173378|0029514183|84960558311|82655160828|0002715447|0001887423,American Political Science Review|American Political Science Review|European Journal of Political Research|European Economic Review|Review of Economic Studies|Quarterly Journal of Economics|Econometrica|Public Choice
2-s2.0-0034508879,2000,0006496393|0029687063|0001997585|0021624759|45449123614|0021597027|0000582696,"Atlantic Economic Journal|Journal of Public Economics|Journal of Public Economics|Land, kinship and life-cycle|Journal of Econometrics|Land, kinship and life-cycle|American Economic Review"
2-s2.0-0034503349,2000,0001090622|0032164073|84973994613|31344440815|0031414212|84973959798|0001559580|0032220677|0030305727|0040153325|34248428827|0001286236|0030306455|0002499269|34248322779|84959828858|0000268281|0037741776|0006037416,Econometrica|American Political Science Review|American Political Science Review|Public Choice|Quarterly Journal of Economics|American Political Science Review|American Economic Review|American Political Science Review|Journal of Politics|Quarterly Journal of Economics|Public Choice|Review of Economic Studies|American Political Science Review|Journal of Political Economy|Public Choice|Quarterly Journal of Economics|Journal of Public Economics|Economic Journal|Quarterly Journal of Economics
2-s2.0-0034503226,2000,84963030229|0026499978|0032451975|0027065751,Review of Economic Studies|World Bank Economic Review|Journal of Political Economy|American Economic Review
2-s2.0-0034503051,2000,84963102760|0021079590|0006436688|41849088685|0024824670|84888824227|84960669163,Review of Economic Studies|American Economic Review|Journal of International Economics|Journal of Development Economics|Quarterly Journal of Economics|Review of Economic Studies|Quarterly Journal of Economics
2-s2.0-0034496446,2000,0003017664|0026475039|21344471282|22444453947|0031686337|0031239114|0021044211|0022185728|0031318570|0032376146|0030294609|0029414535,The Electricity Journal|Resources and Energy|Contemporary Economic Policy|Contemporary Economic Policy|Journal of Environmental Economics and Management|Journal of Environmental Economics and Management|Journal of Political Economy|Review of Economics & Statistics|RAND Journal of Economics|Review of Economics and Statistics|Journal of Environmental Economics and Management|Resource and Energy Economics
2-s2.0-0034491474,2000,0024679801|84960584516|0028451448|84952503088|0031115811|0021552189,American Economic Review|Quarterly Journal of Economics|The American economic review|Journal of Business and Economic Statistics|Journal of Public Economics|The journal of political economy
2-s2.0-0343527285,2000,0038876838|0034039182|85015692260|84891010016|38549147867|0000985905|84993839726|84944830176|0000963719|0001116758|0007740284|0015602539|0000026887|49549135545|84977723766,Review of Economic Studies|Journal of Political Economy|Journal of Political Economy|Investment under Uncertainty|Journal of Financial Economics|Journal of Economic Theory|The Journal of Finance|The Journal of Finance|The Journal of Finance|Econometrica|Journal of Financial Economics|Bell J Econ Manage Sci|The Journal of Finance|Journal of Economic Theory|The Journal of Finance
2-s2.0-0342313558,2000,0040657463|0001071985|0031525382|0022158520|38249044049|77956742053,Quarterly Journal of Economics|Review of Economic Dynamics|Economic Inquiry|Demography|Economics Letters|Handbook of Population and Family Economics
2-s2.0-0034511620,2000,0006432824|0006398564|0000679888|0030422887|84911693910|0030078437|0001485528|84971737373|0029500894|0031287860|0038938146|0001254757,"Journal of Monetary Economics|Manchester School|Explorations in Economic History|Journal of Economic History|Quarterly Journal of Economics|Journal of Monetary Economics|The Economic History Review|The Journal of Economic History|The Economic History Review|Economic Theory|Journal of Money, Credit and Banking|Journal of Monetary Economics"
