eid,year,group,has_discussion,references,journals
2-s2.0-85017167724,2008,ME,0,0037905686|1842539603|27144489651|0035132699,Journal of Monetary Economics|Journal of Financial and Quantitative Analysis|Journal of Monetary Economics|Journal of International Economics
2-s2.0-34247535984,2005,EFFE,0,0036005159|0037905686|0001353110|0038463332|0035628153|84959821636|0006260747|0008766361|0036221014|33644763053|0001558661|33644508092|0041589839|32544432713|0030305091|0039120731|27144441377|0000909365|33644519376|0039447737|0006178565|15844417903|0347592485|0000339531|0000118629|4544379866|31544462063|17944380399|58149362804|0036742601|18144427889,"Journal of Business and Economic Statistics|Journal of Monetary Economics|Journal of Financial Economics|Journal of Finance|Brookings Papers on Economic Activity|Review of Economic Studies|Quarterly Journal of Economics|Journal of Finance|Journal of Financial Economics|Journal of Money, Credit and Banking|Journal of Econometrics|Journal of Econometrics|Journal of Finance|Journal of Financial Economics|Mathematical Finance|Quarterly Journal of Economics|Journal of Monetary Economics|Journal of Economic Dynamics and Control|Journal of Econometrics|Review of Economics and Statistics|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Money, Credit and Banking|Quarterly Journal of Economics|American Economic Review|Journal of Money, Credit and Banking|Review of Economics and Statistics|Journal of Political Economy|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Money, Credit and Banking"
2-s2.0-85017112403,2005,EFCE,0,34547657620|0034955753|84964107682|77957009611|0034562222|84958354004|0345116094|33748351169|13244292267|33645824728|45549116427|45549121614,Quarterly Journal of Economics|Journal of Political Economy|The Annals of the American Academy of Political and Social Science|Peabody Journal of Education|Journal of Labor Economics|Publications of the American Statistical Association|Educational Evaluation and Policy Analysis|Journal of Interdisciplinary History|Review of Economic Studies|Journal of Economic Perspectives|Journal of Monetary Economics|Journal of Monetary Economics
2-s2.0-33747755765,2001,EFEL,1,0348195512|0034078788|84977364496|84963086963|0030527404|70449530457|58149208604|0000829544|0009093975|0033652771|0012125938|34547433726|0000028238|0003112060|84960612669|0031474088|84960577846|84960565386|85008736512|0009424011,Economic Journal|European Economic Review|American Economic Review|Quarterly Journal of Economics|Review of Economics and Statistics|Handbook of Macroeconomics|Carnegie-Rochester Confer. Series on Public Policy|American Economic Review|Journal of Finance|Journal of Political Economy|Review of Economic Studies|Quarterly Journal of Economics|Journal of Monetary Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Political Economy|Quarterly Journal of Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Economic Theory
2-s2.0-84865584527,2009,ME,0,7544224413|84963015050|33745808764|38049091524|77956311880|46049105914|33748778768|73849089861|80052266990|33645727687|74849136434|0001609111|0034419268|0000131204|0037292733|76049120993|31444435396|0031474088|0039844367|0001645347|21844508569|85011383076|72449151676|78650509484,Journal of Financial Intermediation|Quarterly Journal of Economics|Review of Economic Studies|Journal of Economics and Business|World Bank Economic Review|Journal of Financial Economics|Journal of Finance|American Economic Review|Journal of International Economics|American Economic Review|Journal of Financial and Quantitative Analysis|American Economic Review|Review of Economics and Statistics|American Economic Review|Journal of Financial Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Political Economy|Quarterly Journal of Economics|American Economic Review|Public Choice|Journal of Economic Perspectives|Quarterly Journal of Economics|American Economic Review
2-s2.0-0036435320,2000,EFCE,0,0002907061|0003294446|0000946317|84982953439|0000507406|0002992344|84985788557|11544374039|0000237339|0001264279|58149211571|0000145421|0039107310,"Econometrica|Journal of Monetary Economics|Journal of Monetary Economics|A Monetary History of the United States, 1867-1960|Journal of Monetary Economics|Journal of Monetary Economics|Economic Inquiry|Economic Theory|Journal of Economic Dynamics and Control|Economic Theory|Carnegie-Rochester Confer. Series on Public Policy|Review of Economic Dynamics|Journal of Money, Credit and Banking"
2-s2.0-84890313750,2006,RISK,1,0012465797|0002389286|38349176029|84892198551|33748779319|30844470248|58049191298|0142168851|0041028794|0011264412|0031995507|0035578755|0036756404|0036599979|27544510174|0141727344|0010929674,Journal of Economic Perspectives|Journal of Economic Theory|Journal of Finance|Infinite Dimensional Analysis: A Hitchhiker's Guide|Journal of Political Economy|American Economic Review|Journal of Financial Economics|Journal of Finance|Journal of Finance|Journal of Financial Intermediation|Journal of Monetary Economics|Review of Financial Studies|Journal of Mathematical Economics|University of Chicago Law Review|Review of Financial Studies|Econometrica|Review of Economic Studies
2-s2.0-38349176029,2006,EFEL,1,1942533418|20444481384|0042671365|0009952279|0030640113|0036487663|0001059841|0009952280|0012615580|0035687303|66049100957|4043061418|0000200532|0037345051|33845706110|33846205687|0348197911|30844470248|1842445955|33746208859|0037332214|0033963790|0348198491|85017108575|0040426295|44649197264,Review of Economic Studies|Journal of Financial Economics|Journal of Finance|Journal of Financial Economics|Journal of Financial Economics|Quarterly Journal of Economics|Journal of Financial Economics|Quarterly Journal of Economics|Journal of Finance|Journal of Political Economy|Handbook of the Economics of Finance|Quarterly Journal of Economics|Journal of Finance|Journal of Financial and Quantitative Analysis|Review of Financial Studies|Journal of Finance|Journal of Financial Economics|American Economic Review|Journal of Finance|Journal of Political Economy|Quarterly Journal of Economics|European Economic Review|American Economic Review|Econometrica|Journal of Finance|Journal of Financial Economics
2-s2.0-4544362915,2001,EFEL,1,1942533418|0001393537|0000829544|0000789987|0141465114|0037677811|0039613915|0001520309|0000737515|0031474088|84984517112|0032451887|0001081112|84884021710|0001312619|0242396663|2142652090,Review of Economic Studies|Econometrica|American Economic Review|American Economic Review|Journal of Monetary Economics|Quarterly Journal of Economics|American Economic Review|American Economic Review|Review of Economic Studies|Journal of Political Economy|Economics & Politics|Journal of Political Economy|Journal of Economic Theory|The Gifts of Athena: Historical Origins of the Knowledge Economy|Journal of Economic Theory|Review of Economic Dynamics|Journal of Monetary Economics
2-s2.0-33846554222,2004,EFCE,0,,
2-s2.0-80054948538,2008,IFM,1,0036775837|58149215537|84888748767|1642542021|0034957167|4544260608|11244300823|77955133207|48749143178|80054948538|0036655918|15844420471|43049154975|77952289876|33746193363|84959805338|26444489007|77952370563|0018872157|15544383648|15544383648|56449099223|0036250881|0035177511|0036867964|0036132038|49449094876|49449094876|77956599252,"Review of Economic Studies|American Economic Review|Review of Economic Studies|Journal of Monetary Economics|Journal of International Economics|Journal of Political Economy|Journal of Money, Credit and Banking|Journal of Money, Credit and Banking|Journal of Monetary Economics|American Economic Review|Review of Economic Studies|Pacific Economic Review|Journal of Monetary Economics|Journal of International Economics|Journal of Economic Perspectives|Quarterly Journal of Economics|Quarterly Journal of Economics|American Economic Review|Journal of Econometrics|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of International Economics|Journal of Applied Econometrics|Journal of International Economics|Quarterly Journal of Economics|Journal of International Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Quarterly Journal of Economics"
