eid,year,references,journals
2-s2.0-0009321539,2000,84960565609|1542603533|0000771376|27744568768|84960603508|0029515109|0030446640|1542422513|34247616236|0008848582|84960575613|0001908308|45549121614|84972819266,Quarterly Journal of Economics|American Economic Review|Journal of Public Economics|Journal of Political Economy|Quarterly Journal of Economics|American Economic Review|Quarterly Journal of Economics|Journal of Economic Growth|Quarterly Journal of Economics|Quarterly Journal of Economics|Review of Economic Studies|Quarterly Journal of Economics|Journal of Monetary Economics|Housing Policy Debate
2-s2.0-0041152105,2000,0000164151|84990172291|0028892007|0029532210|33745558413|0001582485|38249034941|0011090049|84963036584|77956814629|0002157622|33751189897|0020675133|44949277386|0031438103,"Journal of Economic Dynamics and Control|Economic Journal|Economic Journal|World Bank Economic Review|Journal of Monetary Economics|Journal of Economic Literature|Journal of International Economics|Journal of Economic Theory|Quarterly Journal of Economics|Handbook of International Economics|Journal of International Money and Finance|Journal of International Economics|University of Stockholm, Institute for International Economic Studies, Reprint Series|Journal of International Economics|Quarterly Journal of Economics"
2-s2.0-0040956865,2000,0032421961|84963057326|0008848582|0021057640|84960575613,Journal of Human Resources|Review of Economic Studies|Quarterly Journal of Economics|Economica|Review of Economic Studies
2-s2.0-0040806000,2000,0001242882|0000087157|21144460830|0001904711|0000719283|0001060374|0009092943|0033208939|0034391552|85008736512,Econometrica|Journal of Public Economics|Journal of Labor Economics|American Statistician|Quarterly Journal of Economics|Quarterly Journal of Economics|Industrial and Labor Relations Review|Evaluation Review|Review of Economics and Statistics|Quarterly Journal of Economics
2-s2.0-0040805999,2000,0009006608|0009321504|0001005864|0031279869|0031724240|0038327241|38249042361|0010191464|38249010044|0001328317,National Tax Journal|National Tax Journal|National Tax Journal|Journal of Public Economics|Journal of Political Economy|National Tax Journal|Journal of Public Economics|National Tax Journal|Journal of Public Economics|Journal of Public Economics
2-s2.0-0040790422,2000,84942834707|0027756557|1542605536|65549092078|0026442096|0031776124|0001505119|0027098395|1542527134|0028591926|0029483756,Quarterly Journal of Economics|Journal of Political Economy|NBER Macroeconomics Annual|Handbook of Development Economics|Journal of Development Economics|Economica|Journal of Public Economics|American Economic Review|Journal of Economic Growth|American Economic Review|Economic Policy
2-s2.0-0040790416,2000,0012574389|84960612695|0032281641|0001341238|84976818797|0025723587|0031422563|44649197264|0023366168,Quarterly Journal of Economics|Quarterly Journal of Economics|Transportation Journal|Journal of The Japanese and International Economies|Communications of the ACM|Communications of the ACM|American Economic Review|Journal of Financial Economics|Communications of the ACM
2-s2.0-0040780180,2000,85040870838|85041145819|84957970989|85041152372,Diseases and plant population biology.|Biological diversity: the coexistence of species on changing landscapes|The Theory of Island Biogeography (MPB-1)|Principles of conservation biology
2-s2.0-0040597119,2000,0000104607|0012574389|84960592384|0028595787|0000959792|84960612695|0012618735|0040016339|0038980895|0002087916|0039613915|0029530992|0027040457|1542709230|0009953837,American Economic Review|Quarterly Journal of Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|American Economic Review|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Economic Perspectives|American Economic Review|Quarterly Journal of Economics|Quarterly Journal of Economics|American Economic Review|Quarterly Journal of Economics
2-s2.0-0040557999,2000,85015692260|84891010016|0001007094|84963028419|0346072422,Journal of Political Economy|Investment under Uncertainty|Journal of Economic Theory|Review of Economic Studies|Journal of Economic Literature
2-s2.0-0040435565,2000,30244508525|0004902835|70350116604|0001345904|31344442775|70449089152|33749299563|54649084303|70350118403,Journal of the American Statistical Association|Econometrica|Handbook of Econometrics|Journal of Economic Literature|Handbook of Labor Economics|Handbook of Macroeconomics|Journal of Econometrics|Foundations of Science|Handbook of Econometrics
2-s2.0-0040362711,2000,21844514180|21344476486|84977342350|84959819316|84984335012|20444464754|0000406315|33847470933|84965668113|79957486637,Quarterly Journal of Economics|RAND Journal of Economics|Economic Inquiry|Quarterly Journal of Economics|Criminology|Review of Economic Studies|Journal of Corporate Finance|International Review of Law and Economics|Journal of Contemporary Criminal Justice|Justice Quarterly
2-s2.0-0040016339,2000,0000602479|0000104607|0012574389|0032334677|0032766867|0000959792|0001908402|0031407983|0000563239|0030404536|84960609976|0031411210|0038980895|0027770211|0027040457,Quarterly Journal of Economics|American Economic Review|Quarterly Journal of Economics|Journal of Labor Economics|Journal of Political Economy|Quarterly Journal of Economics|American Economic Review|Quarterly Journal of Economics|Review of Economic Studies|American Economic Review|Review of Economic Studies|American Economic Review|Quarterly Journal of Economics|Journal of Political Economy|Quarterly Journal of Economics
2-s2.0-0039842662,2000,34250446073|38249029918|0002463222|0001535474|40749147831|0000369606|84980096808|84925910020,Public Choice|Economics Letters|Journal of Economic Theory|American Economic Review|Review of Economic Studies|Econometrica|The Journal of Finance|Review of Economic Studies
2-s2.0-0039842661,2000,84972742737|0001387970|0033434894,Politics & Society|Social Choice and Welfare|Comparative Political Studies
2-s2.0-0039842612,2000,0039552198|0346880128|0002929904|0002338374|0000842056,Quarterly Journal of Economics|Journal of the American Statistical Association|Journal of Economic Perspectives|Journal of Economic Perspectives|Quarterly Journal of Economics
2-s2.0-0039842605,2000,84960587220|0000274042|85005305538|84959748430|34447468563|0000087157|0011490533|0039810699|84977364496|0348137158|0001059841|0030318587|84979188687|0000627340|0001337316,Quarterly Journal of Economics|European Economic Review|Quarterly Journal of Economics|Quarterly Journal of Economics|Review of Economic Studies|Journal of Public Economics|The Geneva Papers on Risk and Insurance|Journal of Financial Economics|American Economic Review|Stanford Law Review|Journal of Financial Economics|American Economic Review|Economica|Journal of Economic Theory|American Economic Review
2-s2.0-0039772143,2000,0015918476|0001467661|0000997861|0000763875|0001556911|84897901578|0014967156|0006862034|0025707123|0026168283|0030884221|0001603413|0001019615|0346311130|38249004806|0002387716|0031281612,British Medical Journal|American Economic Review|Journal of Economic Theory|Journal of Economic Theory|American Economic Review|Quarterly Journal of Economics|The Lancet|American Economic Review|Science|The American economic review|Journal of the American Medical Association|American Economic Review|Journal of Political Economy|Econometrica|Organizational Behavior and Human Decision Processes|Organizational Behavior and Human Decision Processes|Journal of Economic Theory
