eid,year,references,journals
2-s2.0-85047278008,2000,85005305538|0006830113|0032219876|58149362913|0006829936|0002550734|0032359292|0344424400|0003095038|0000930326|0033423665|0001251050|0000710461|0000526390,Quarterly Journal of Economics|Journal of Economic Theory|Economic Theory|Journal of Economic Theory|Journal of Economic Theory|Econometrica|Review of Financial Studies|Journal of Economic Theory|Journal of Economic Theory|Journal of Economic Theory|Economic Theory|Journal of Economic Theory|Journal of Economic Theory|Review of Economic Studies
2-s2.0-0742334200,2000,47749120440|0012125938|33746785978|0000947861|0001239136|0032018186|0001105013|84977702514|84977733424|0009424011|84924953133|0000812137,Review of Economic Studies|Review of Economic Studies|Journal of Financial Economics|European Economic Review|Journal of Economic Theory|Journal of Institutional and Theoretical Economics|Journal of Economic Theory|The Journal of Finance|The Journal of Finance|Journal of Economic Theory|Review of Economic Studies|Review of Economic Studies
2-s2.0-0034546907,2000,84922353689|0346880128|85077551341|84920420698|0031535102|0000694661|0000311879|0000016616|77956888769|58149417330,Journal of the American Statistical Association|Journal of the American Statistical Association|RAND Journal of Economics|Journal of the American Statistical Association|Annals of Statistics|Review of Economic Studies|Econometrica|Econometrica|Biometrika|Journal of Educational Psychology
2-s2.0-0034538775,2000,0025587012|0030444996|0009417356|0028665652|43949150183|0038986927|0026314546|0031454309|0024225984|0027008607|84977293220|84959824913|84980090461|84960609322|0022919999|84959849294|84984074121,Quarterly Journal of Economics|Journal of Development Economics|Carnegie-Rochester Confer. Series on Public Policy|Journal of Population Economics|Carnegie-Rochester Confer. Series on Public Policy|Journal of Monetary Economics|Economic Journal|International Economic Review|Handbook of Development Economics|Canadian Journal of Economics|Review of Income and Wealth|Quarterly Journal of Economics|The Manchester School|Quarterly Journal of Economics|American Economic Review|Quarterly Journal of Economics|Review of Income and Wealth
2-s2.0-0034537623,2000,0031428722|0027756557|0006645830|0030390272|84960609976|0000240015|43949156174|0027833406|84980090461|0001634922|0015845429|0031420124|0001797981|0000320250,Review of Economic Studies|Journal of Political Economy|Review of Economic Studies|The informal sector and microfinance institutions in West Africa|Review of Economic Studies|Journal of Economic Theory|Journal of The Japanese and International Economies|World Bank Economic Review|The Manchester School|Explorations in Economic History|International Labour Review|Review of Economic Studies|Journal of Economic Theory|Journal of Policy Modeling
2-s2.0-0034535338,2000,44949274943|16144366325|0022661928,Carnegie-Rochester Confer. Series on Public Policy|Journal of International Money and Finance|Journal of Computational and Applied Mathematics
2-s2.0-0034534351,2000,0030210363|0030210944|0002619095|0000097236|84963078672|84980078790|0002108648|0002298154|0000065874|0001093879|84959805787|0001930671|0018542003|44949269402,Games and Economic Behavior|Games and Economic Behavior|Games and Economic Behavior|Journal of Economic Behavior and Organization|Review of Economic Studies|Bulletin of Economic Research|Bulletin of Economic Research|Games and Economic Behavior|Review of Economic Studies|Journal of Economic Theory|Review of Economic Studies|Journal of Economic Theory|SIAM Journal on Control and Optimization|Journal of Mathematical Economics
2-s2.0-0034532225,2000,84971720906|0006684786|0001466614|84972476248|84972348955|84928442065|84971761840|0002051084|0040390947|0032773001|84971814894,American Political Science Review|Public Choice|Public Choice|British Journal of Political Science|British Journal of Political Science|British Journal of Political Science|American Political Science Review|Journal of Economic Theory|American Political Science Review|European Economic Review|American Political Science Review
2-s2.0-0034532115,2000,0026958942|0001246509|0006644138|0000843042|1542395893|0002226230|0028605451|0001259533|0000237339,International Economic Review|Review of Economic Studies|International Economic Review|Journal of International Economics|NBER Macroeconomics Annual|Journal of Monetary Economics|American Economic Review|Journal of International Economics|Journal of Economic Dynamics and Control
2-s2.0-0034531293,2000,21344498996|84881844837|84984061393|0006687874|0002318314|0032016159|84982400949|84982492154|0006732116|0006747626|0032221350,Quarterly Journal of Economics|Review of Economic Studies|Scottish Journal of Political Economy|Journal of Economic Dynamics and Control|Journal of Economic Theory|Journal of Economic Dynamics and Control|British Journal of Industrial Relations|British Journal of Industrial Relations|Oxford Bulletin of Economics and Statistics|Journal of Economic Theory|Economic Theory
2-s2.0-0034529222,2000,84960613841|0000051541|38249022315|44049115126|0001019649|0020815880|84959799545|0000137227|84963017687|85077621983|0000518184|0029207027|84963107529|33846669324|72949113993|38249022219,Quarterly Journal of Economics|Journal of Mathematical Economics|Journal of Economic Theory|Journal of Economic Theory|Journal of Financial Intermediation|Operations Research|Review of Economic Studies|Review of Economic Studies|Review of Economic Studies|RAND Journal of Economics|Journal of Economic Theory|Econometrica|Quarterly Journal of Economics|Journal of Economic Theory|Review of Economic Studies|Journal of Economic Theory
2-s2.0-0034528529,2000,0030352286|0039768893|0000006364|84891010016|0000080295|0001332162|0000148018|0000140668|0001058483|0032395732,Econometrica|RAND Journal of Economics|Econometrica|Investment under Uncertainty|Journal of Political Economy|Review of Economic Studies|Journal of Political Economy|Review of Economic Studies|Journal of Economic Theory|RAND Journal of Economics
2-s2.0-0034525801,2000,21844514180|0027006898|0030857547|0030364687|84981620214|84979435993|0003109811|0000085290|0027770211|0027040457|0002614640|0027036121,Quarterly Journal of Economics|American Economic Review|Economic Journal|Econometrica|Oxford Bulletin of Economics and Statistics|Fiscal Studies|Review of Economic Dynamics|Econometrica|Journal of Political Economy|Quarterly Journal of Economics|Oxford Review of Economic Policy|Quarterly Journal of Economics
2-s2.0-0034525707,2000,0030364687|0000902103|0031794506|0006542585|0027063197|85088938629|0018734781,Econometrica|Industrial and Labor Relations Review|Journal of Human Resources|Empirical Economics|Quarterly Journal of Economics|The Statistical Analysis of Failure Time Data|Biometrika
2-s2.0-0034523374,2000,0000114625|0004282446|0039131029|0012574389|0001050458|0010108855|84959835849|0011836113|0000627340|0031407983|85003728632|0039120732|84963057326|0003161771|84960552346|5544239166|84963060954|84962992015|84959809412,Econometrica|Quarterly Journal of Economics|International Economic Review|Quarterly Journal of Economics|Econometrica|International Economic Review|Review of Economic Studies|Economics of Innovation and New Technology|Journal of Economic Theory|Quarterly Journal of Economics|Economics of Innovation and New Technology|Quarterly Journal of Economics|Review of Economic Studies|International Journal of Game Theory|Review of Economic Studies|Journal of Political Economy|Review of Economic Studies|Review of Economic Studies|Review of Economic Studies
