researcher,eids,sources,years
10138910100,2-s2.0-84868355022|2-s2.0-84860555509|2-s2.0-83455179167|2-s2.0-79958144156|2-s2.0-70349467733|2-s2.0-60449117741|2-s2.0-36448949426|2-s2.0-34147129013|2-s2.0-33750929516|2-s2.0-85117439476|2-s2.0-29244445811|2-s2.0-4344641116|2-s2.0-0041876419,"California Management Review|Harvard Business Review|Management Science|American Economic Journal: Applied Economics|Journal of Economic Behavior and Organization|Review of Financial Studies|Review of Economics and Statistics|Journal of Industrial Economics|Review of Economics and Statistics|B.E. Journal of Economic Analysis and Policy|Journal of Financial Economics|Journal of Law, Economics, and Organization|Journal of Labor Economics",2012|2012|2011|2010|2009|2009|2007|2007|2006|2006|2006|2004|2002
10244738400,2-s2.0-84874248693|2-s2.0-84867787581|2-s2.0-84855486957|2-s2.0-84857318268|2-s2.0-77951209013|2-s2.0-33746781777|2-s2.0-29344460646|2-s2.0-16244393083,Review of Financial Studies|Review of Financial Studies|Journal of Financial Economics|Journal of Financial and Quantitative Analysis|Journal of Financial Economics|Journal of Finance|Review of Financial Studies|Journal of Finance,2013|2012|2012|2011|2010|2006|2006|2005
10339832500,2-s2.0-84879074625|2-s2.0-84878977814|2-s2.0-84867180259|2-s2.0-80053433871|2-s2.0-79953676645|2-s2.0-79955447058|2-s2.0-79955570965|2-s2.0-78649427212|2-s2.0-68949116286|2-s2.0-85017112403|2-s2.0-66049120016|2-s2.0-46749114409|2-s2.0-33847663850|2-s2.0-20744447295|2-s2.0-7444245609|2-s2.0-21244465451|2-s2.0-0347540117|2-s2.0-0035175350|2-s2.0-77956753212|2-s2.0-0029531264|2-s2.0-21844525022|2-s2.0-0028600796|2-s2.0-43949166247|2-s2.0-38249007700|2-s2.0-0001418697,"American Economic Review|NBER Macroeconomics Annual|Brookings Papers on Economic Activity|Journal of Economic Literature|Quarterly Journal of Economics|American Economic Journal: Macroeconomics|NBER Macroeconomics Annual|Brookings Papers on Economic Activity|Journal of Money, Credit and Banking|American Economic Journal: Macroeconomics|Journal of Economic History|NBER Macroeconomics Annual|American Economic Review|Journal of Monetary Economics|Journal of Money, Credit and Banking|NBER Macroeconomics Annual|NBER Macroeconomics Annual|Journal of Political Economy|Handbook of Macroeconomics|Quarterly Journal of Economics|Quarterly Journal of Economics|American Economic Review|Carnegie-Rochester Confer. Series on Public Policy|Journal of Monetary Economics|Journal of Economic Behavior and Organization",2013|2012|2012|2011|2011|2011|2010|2010|2009|2009|2009|2007|2006|2005|2004|2004|2001|2001|1999|1995|1994|1994|1993|1992|1984
10340933100,2-s2.0-84872262300|2-s2.0-80051576622|2-s2.0-79954947947|2-s2.0-79960935240|2-s2.0-63149100902|2-s2.0-29444448201,Journal of Banking and Finance|Quarterly Review of Economics and Finance|Annals of Finance|Journal of Economics and Business|Journal of Urban Economics|Review of Financial Economics,2013|2011|2011|2010|2009|2005
10439211000,2-s2.0-84878437879|2-s2.0-84903770718|2-s2.0-84863858876|2-s2.0-84857191173|2-s2.0-82955227449|2-s2.0-80054908620|2-s2.0-85017105967|2-s2.0-77952291752|2-s2.0-74349090247|2-s2.0-53049089725|2-s2.0-33645918005|2-s2.0-29544434555|2-s2.0-0242636863,International Journal of Central Banking|NBER Macroeconomics Annual|Journal of the European Economic Association|Journal of Econometrics|Journal of the Japanese and International Economies|American Economic Review|American Economic Journal: Macroeconomics|Journal of International Economics|Journal of Applied Econometrics|Journal of Economic Dynamics and Control|Journal of Monetary Economics|American Economic Review|Econometric Theory,2013|2013|2012|2012|2011|2011|2010|2010|2010|2008|2006|2005|2003
10440450300,2-s2.0-84876959677|2-s2.0-84861795605|2-s2.0-56449126645|2-s2.0-56449086659|2-s2.0-29544433206,Economic Journal|Journal of Development Economics|Journal of International Economics|Journal of International Economics|Journal of International Money and Finance,2013|2012|2008|2008|2005
10738853700,2-s2.0-84879697505|2-s2.0-84873572705|2-s2.0-80052746005|2-s2.0-33750947130|2-s2.0-33947630237|2-s2.0-33646166437|2-s2.0-29844442320|2-s2.0-2142755806,Journal of Health Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Political Economy|Journal of Economic Perspectives|American Law and Economics Review|Economics of Education Review|Journal of Public Economics,2013|2013|2011|2006|2006|2006|2006|2004
11042100100,2-s2.0-82355182874|2-s2.0-79953019542|2-s2.0-3142711109|2-s2.0-17144411386,"Journal of Economic Dynamics and Control|Journal of Money, Credit and Banking|Journal of Money, Credit and Banking|Journal of Economics and Business",2011|2011|2004|2003
11239173800,2-s2.0-84884731325|2-s2.0-84873488807|2-s2.0-82455167903|2-s2.0-82955242540|2-s2.0-81255170040|2-s2.0-74549148541|2-s2.0-69949159290|2-s2.0-66149093457|2-s2.0-34547662007|2-s2.0-30444460887,World Bank Economic Review|American Economic Journal: Applied Economics|Journal of Development Economics|Journal of Marketing Research|Journal of Finance|American Journal of Agricultural Economics|Review of Economics and Statistics|American Economic Journal: Applied Economics|Quarterly Journal of Economics|Journal of Economic History,2013|2013|2012|2011|2011|2009|2009|2009|2007|2005
11240439300,2-s2.0-84884714001|2-s2.0-84879400429|2-s2.0-84860588430|2-s2.0-84860516467|2-s2.0-84855772224|2-s2.0-78650967353|2-s2.0-74349100996|2-s2.0-70349835782|2-s2.0-54249167102|2-s2.0-52949130662|2-s2.0-30544433217|2-s2.0-33646820646|2-s2.0-4143124696|2-s2.0-0036002890,Journal of Applied Econometrics|Annals of Statistics|Journal of Econometrics|Econometric Theory|Economics Letters|Review of Economics and Statistics|Journal of Applied Econometrics|Econometrica|Journal of Multivariate Analysis|Annals of Applied Probability|Journal of Economic Dynamics and Control|NBER Macroeconomics Annual|Journal of the European Economic Association|Macroeconomic Dynamics,2013|2013|2012|2012|2012|2010|2010|2009|2008|2008|2006|2005|2003|2002
